dtm_model,dataset,llm,topic_idx,year,intruder,detected,correct,raw
DLDA,unDebates,deepseek,0,1970,terrorist,,False,
DLDA,unDebates,deepseek,0,1971,detente,,False,
DLDA,unDebates,deepseek,0,1972,congo,,False,
DLDA,unDebates,deepseek,0,1973,rights,asia,False,asia
DLDA,unDebates,deepseek,0,1974,session,,False,
DLDA,unDebates,deepseek,0,1975,arms,,False,
DLDA,unDebates,deepseek,0,1976,country,,False,
DLDA,unDebates,deepseek,0,1977,african,african,True,african
DLDA,unDebates,deepseek,0,1978,economic,,False,
DLDA,unDebates,deepseek,0,1979,conference,,False,
DLDA,unDebates,deepseek,0,1980,european,,False,
DLDA,unDebates,deepseek,0,1981,respect,,False,
DLDA,unDebates,deepseek,0,1982,cent,,False,
DLDA,unDebates,deepseek,0,1983,islands,,False,
DLDA,unDebates,deepseek,0,1984,independence,,False,
DLDA,unDebates,deepseek,0,1985,rights,,False,
DLDA,unDebates,deepseek,0,1986,iran,,False,
DLDA,unDebates,deepseek,0,1987,pacific,,False,
DLDA,unDebates,deepseek,0,1988,history,,False,
DLDA,unDebates,deepseek,0,1989,namibia,,False,
DLDA,unDebates,deepseek,0,1990,region,,False,
DLDA,unDebates,deepseek,0,1991,principles,principles,True,principles
DLDA,unDebates,deepseek,0,1992,state,,False,
DLDA,unDebates,deepseek,0,1993,japan,,False,
DLDA,unDebates,deepseek,0,1994,trafficking,,False,
DLDA,unDebates,deepseek,0,1995,country,economic,False,economic
DLDA,unDebates,deepseek,0,1996,resolutions,,False,
DLDA,unDebates,deepseek,0,1997,relations,,False,
DLDA,unDebates,deepseek,0,1998,political,economic,False,economic
DLDA,unDebates,deepseek,0,1999,america,,False,
DLDA,unDebates,deepseek,0,2000,efforts,,False,
DLDA,unDebates,deepseek,0,2001,millennium,,False,
DLDA,unDebates,deepseek,0,2002,horn,horn,True,horn
DLDA,unDebates,deepseek,0,2003,ideas,,False,
DLDA,unDebates,deepseek,0,2004,resolutions,,False,
DLDA,unDebates,deepseek,0,2005,important,,False,
DLDA,unDebates,deepseek,0,2006,asia,economic,False,economic
