topic_id,time_index,intruder_word,model_prediction,correct
13,1,given,'self',False
13,7,control,head,False
13,13,algorithm,visual,False
13,19,motion,visual,False
13,25,function,function,True
13,31,learning,bandit,False
39,1,memory,'analog',False
39,7,information,memory,False
39,13,variational,university,False
39,19,linear,conference,False
39,25,loss,norm,False
39,31,graph,graph,True
30,1,information,large,False
30,7,data,case,False
30,13,video,video,True
30,19,density,query,False
30,25,loss,document,False
30,31,learning,'attention',False
45,1,number,'figure',False
45,7,points,'figure',False
45,13,classification,example,False
45,19,gaussian,"'bayesian' is less directly related to the other words, which are more specific to statistical modeling and probability distributions (Gaussian, prior, posterior). Bayesian inference is a method used in these models, but it doesn't necessarily describe the topic itself as directly as the other words do.",False
45,25,detection,product,False
45,31,action,action,True
17,1,units,'units',False
17,7,network,output,False
17,13,image,image,True
17,19,systems,upper,False
17,25,mixture,'mixture',False
17,31,number,number,True
48,1,information,'information',False
48,7,hinton,hinton,True
48,13,bound,'bound',False
48,19,variables,observed,False
48,25,decision,models,False
48,31,learning,'target',False
26,1,connections,'significant',False
26,7,output,'significant',False
26,13,input,Bars,False
26,19,distribution,distribution,True
26,25,local,local,True
26,31,number,examples,False
25,1,training,'internal',False
25,7,state,'figure',False
25,13,theorem,'different',False
25,19,training,function,False
25,25,gradient,'defined',False
25,31,generative,state,False
32,1,network,paper,False
32,7,distribution,morgan,False
32,13,bayesian,'bayesian',False
32,19,gaussian,gaussian,True
32,25,classiﬁcation,'machine',False
32,31,question,vision,False
19,1,neuron,neuron,True
19,7,active,active,True
19,13,training,'complexity',False
19,19,feature,machine,False
19,25,conference,conference,True
19,31,inference,individual,False
12,1,input,sutton,False
12,7,weights,Sutton,False
12,13,state,source,False
12,19,problem,equilibrium,False
12,25,kernel,kernel,True
12,31,object,value,False
4,1,function,complex,False
4,7,hand,song,False
4,13,performance,'subjects',False
4,19,subject,'subject',False
4,25,conference,'conference',False
4,31,theorem,theorem,True
