dtm_model,dataset,llm,topic_idx,year,intruder,detected,correct,raw
DLDA,nyt,llama,0,1987,employees,employees,True,employees
DLDA,nyt,llama,0,1988,black,said,False,said
DLDA,nyt,llama,0,1989,works,plane,False,plane
DLDA,nyt,llama,0,1990,bond,said,False,said
DLDA,nyt,llama,0,1991,democratic,plane,False,plane
DLDA,nyt,llama,0,1992,said,people,False,people
DLDA,nyt,llama,0,1993,university,plane,False,plane
DLDA,nyt,llama,0,1994,national,national,True,national
DLDA,nyt,llama,0,1995,article,article,True,Article
DLDA,nyt,llama,0,1996,league,league,True,League
DLDA,nyt,llama,0,1997,congress,congress,True,Congress
DLDA,nyt,llama,0,1998,government,people,False,People
DLDA,nyt,llama,0,1999,listed,people,False,people
DLDA,nyt,llama,0,2000,said,year,False,Year
DLDA,nyt,llama,0,2001,judge,trade,False,trade
DLDA,nyt,llama,0,2002,salt,plane,False,plane
DLDA,nyt,llama,0,2003,trial,plane,False,plane
DLDA,nyt,llama,0,2004,mets,space,False,Space
DLDA,nyt,llama,0,2005,directed,hurricane,False,Hurricane
DLDA,nyt,llama,0,2006,public,said,False,said
DLDA,nyt,llama,0,2007,beloved,said,False,said
DLDA,nyt,llama,1,1987,gallery,year,False,Year
DLDA,nyt,llama,1,1988,think,think,True,think
DLDA,nyt,llama,1,1989,department,department,True,Department
DLDA,nyt,llama,1,1990,american,year.,False,Year.
DLDA,nyt,llama,1,1991,time,time,True,Time
DLDA,nyt,llama,1,1992,community,community,True,Community
DLDA,nyt,llama,1,1993,president,president,True,President
DLDA,nyt,llama,1,1994,daughter,daughter,True,Daughter
DLDA,nyt,llama,1,1995,open,open,True,Open
DLDA,nyt,llama,1,1996,said,year:,False,Year: 1996
DLDA,nyt,llama,1,1997,economy,economy,True,economy
DLDA,nyt,llama,1,1998,games,games,True,Games
DLDA,nyt,llama,1,1999,prices,play,False,Play
DLDA,nyt,llama,1,2000,school,school,True,School
DLDA,nyt,llama,1,2001,bush,bush,True,Bush
DLDA,nyt,llama,1,2002,street,street,True,Street
DLDA,nyt,llama,1,2003,house,year,False,Year
DLDA,nyt,llama,1,2004,iraq,iraq,True,iraq
DLDA,nyt,llama,1,2005,father,father,True,Father
DLDA,nyt,llama,1,2006,housing,housing,True,housing
DLDA,nyt,llama,1,2007,games,games,True,games
DLDA,nyt,llama,2,1987,black,county,False,County
DLDA,nyt,llama,2,1988,banks,banks,True,Banks
DLDA,nyt,llama,2,1989,money,york,False,York
DLDA,nyt,llama,2,1990,judge,jersey,False,Jersey
