dtm_model,dataset,llm,topic_idx,year,temporal_coherence,temporal_smoothness,raw
DETM,nyt,llama,0,1988,1,1,"{
  ""temporal_coherence"": 1,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,1989,1,1,"{
  ""temporal_coherence"": 1,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,1990,1,1,"{
  ""temporal_coherence"": 1,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,1991,2,1,"{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,1992,1,1,"{
  ""temporal_coherence"": 1,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,1993,2,1,"{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,1994,2,3,"{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 3
}"
DETM,nyt,llama,0,1995,2,1,"{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,1996,1,1,"{
  ""temporal_coherence"": 1,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,1997,1,1,"{
  ""temporal_coherence"": 1,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,1998,1,1,"{
  ""temporal_coherence"": 1,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,1999,2,3,"{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 3
}"
DETM,nyt,llama,0,2000,3,3,"{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}"
DETM,nyt,llama,0,2001,1,1,"{
  ""temporal_coherence"": 1,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,2002,2,3,"{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 3
}"
DETM,nyt,llama,0,2003,3,3,"{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}"
DETM,nyt,llama,0,2004,2,1,"{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,2005,1,1,"{
  ""temporal_coherence"": 1,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,0,2006,2,2,"{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 2
}"
DETM,nyt,llama,1,1988,1,1,"{
  ""temporal_coherence"": 1,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,1,1989,1,1,"{
  ""temporal_coherence"": 1,
  ""temporal_smoothness"": 1
}"
DETM,nyt,llama,1,1990,2,2,"{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 2
}"
DETM,nyt,llama,1,1991,3,3,"{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}"
DETM,nyt,llama,1,1992,2,2,"{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 2
}"
DETM,nyt,llama,1,1993,3,3,"{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}"
