nohup: ignoring input

=================================================================
  LLM-DTM Evaluation Pipeline
  data_root : /home/sox45ben/Downloads/LLM Evaluation for DTM/prolific
  DTM models: ['DLDA', 'DETM']
  Datasets  : ['neurips', 'nyt', 'unDebates']
  LLMs      : ['llama']
  Tasks     : all
  Top-N     : 10 words per topic
=================================================================


─────────────────────────────────────────────────────────────────
  Loading: DLDA / neurips
  Loaded 33 years | 50 topics/year | from DLDA/neurips

  LLM: llama  |  meta-llama/llama-3.1-8b-instruct

  [Task 1] Temporal Topic Coherence
    [Coh] topic=00 year=1988 ... coh=3 smooth=3
    [Coh] topic=00 year=1989 ... coh=3 smooth=3
    [Coh] topic=00 year=1990 ... coh=3 smooth=3
    [Coh] topic=00 year=1991 ... coh=3 smooth=3
    [Coh] topic=00 year=1992 ... coh=3 smooth=3
    [Coh] topic=00 year=1993 ... coh=3 smooth=3
    [Coh] topic=00 year=1994 ... coh=3 smooth=3
    [Coh] topic=00 year=1995 ... coh=3 smooth=3
    [Coh] topic=00 year=1996 ... coh=3 smooth=3
    [Coh] topic=00 year=1997 ... coh=3 smooth=3
    [Coh] topic=00 year=1998 ... coh=3 smooth=3
    [Coh] topic=00 year=1999 ... coh=3 smooth=3
    [Coh] topic=00 year=2000 ... coh=3 smooth=3
    [Coh] topic=00 year=2001 ... coh=3 smooth=3
    [Coh] topic=00 year=2002 ... coh=3 smooth=3
    [Coh] topic=00 year=2003 ... coh=3 smooth=3
    [Coh] topic=00 year=2004 ... coh=3 smooth=3
    [Coh] topic=00 year=2005 ... coh=3 smooth=3
    [Coh] topic=00 year=2006 ... coh=3 smooth=3
    [Coh] topic=00 year=2007 ... coh=3 smooth=3
    [Coh] topic=00 year=2008 ... coh=3 smooth=3
    [Coh] topic=00 year=2009 ... coh=3 smooth=3
    [Coh] topic=00 year=2010 ... coh=3 smooth=3
    [Coh] topic=00 year=2011 ... coh=3 smooth=3
    [Coh] topic=00 year=2012 ... coh=3 smooth=3
    [Coh] topic=00 year=2013 ... coh=3 smooth=3
    [Coh] topic=00 year=2014 ... coh=3 smooth=3
