dtm_model,dataset,llm,topic_idx,year,intruder,detected,correct,raw
DLDA,neurips,llama,0,1987,delay,delay,True,delay
DLDA,neurips,llama,0,1988,reinforcement,metric,False,Metric
DLDA,neurips,llama,0,1989,model,metric,False,Metric
DLDA,neurips,llama,0,1990,retrieval,retrieval,True,retrieval
DLDA,neurips,llama,0,1991,systems,metric,False,Metric
DLDA,neurips,llama,0,1992,groups,year,False,Year
DLDA,neurips,llama,0,1993,head,head,True,Head
DLDA,neurips,llama,0,1994,networks,year,False,Year
DLDA,neurips,llama,0,1995,optimal,year,False,Year
DLDA,neurips,llama,0,1996,rule,rule,True,rule
DLDA,neurips,llama,0,1997,events,year,False,Year
DLDA,neurips,llama,0,1998,basis,year:,False,"Year: 1998

The word that is LEAST related to the others is: basis"
DLDA,neurips,llama,0,1999,natural,year:,False,"Year: 1999
Topic words: ['distance', 'distances', 'metric', 'nearest', 'similarity', 'natural']

The word that is LEAST related to the others is: natural"
DLDA,neurips,llama,0,2000,queries,year,False,Year
DLDA,neurips,llama,0,2001,optimal,year,False,Year
DLDA,neurips,llama,0,2002,following,following,True,following
DLDA,neurips,llama,0,2003,learning,learning,True,Learning
DLDA,neurips,llama,0,2004,instances,year,False,Year
DLDA,neurips,llama,0,2005,events,events,True,events
DLDA,neurips,llama,0,2006,data,year:,False,"Year: 2006
Topic words: ['similarity', 'nearest', 'data', 'distance', 'metric', 'distances']

The word that is LEAST related to the others is: 'data'"
DLDA,neurips,llama,0,2007,section,section,True,Section
DLDA,neurips,llama,0,2008,memory,year,False,Year
DLDA,neurips,llama,0,2009,series,series,True,Series
DLDA,neurips,llama,0,2010,distribution,distribution,True,Distribution
DLDA,neurips,llama,0,2011,layer,year,False,Year
DLDA,neurips,llama,0,2012,optimal,year,False,Year
DLDA,neurips,llama,0,2013,labeled,year,False,Year
DLDA,neurips,llama,0,2014,additive,nearest,False,nearest
DLDA,neurips,llama,0,2015,order,year,False,Year
DLDA,neurips,llama,0,2016,space,year,False,Year
DLDA,neurips,llama,0,2017,rank,year,False,Year
DLDA,neurips,llama,0,2018,point,year,False,Year
DLDA,neurips,llama,0,2019,smoothing,year,False,Year
DLDA,neurips,llama,1,1987,visible,visible,True,Visible
DLDA,neurips,llama,1,1988,faces,faces,True,Faces
DLDA,neurips,llama,1,1989,visual,year,False,Year
DLDA,neurips,llama,1,1990,instance,year,False,Year
DLDA,neurips,llama,1,1991,minima,year,False,Year
DLDA,neurips,llama,1,1992,time,time,True,Time
DLDA,neurips,llama,1,1993,method,year:,False,"Year: 1993
Topic words: ['method', 'principal', 'component', 'components', 'analysis', 'matrix']

Matrix"
DLDA,neurips,llama,1,1994,dual,year:,False,"Year: 1994

Topic words: ['analysis', 'principal', 'matrix', 'component', 'components', 'dual']

Dual"
DLDA,neurips,llama,1,1995,noise,noise,True,Noise
DLDA,neurips,llama,1,1996,query,year,False,Year
DLDA,neurips,llama,1,1997,vectors,year,False,Year
DLDA,neurips,llama,1,1998,function,year,False,Year
DLDA,neurips,llama,1,1999,class,year,False,Year
DLDA,neurips,llama,1,2000,data,year,False,Year
DLDA,neurips,llama,1,2001,covariance,year,False,Year
DLDA,neurips,llama,1,2002,sequence,sequence,True,sequence
DLDA,neurips,llama,1,2003,loss,loss,True,loss
DLDA,neurips,llama,1,2004,based,based,True,based
DLDA,neurips,llama,1,2005,examples,examples,True,Examples
