dtm_model,dataset,llm,topic_idx,year,temporal_coherence,temporal_smoothness,raw
DLDA,nyt,deepseek,0,1988,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,0,1989,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,0,1990,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,0,1991,3,2,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 2
}
```"
DLDA,nyt,deepseek,0,1992,2,2,"{""temporal_coherence"": 2, ""temporal_smoothness"": 2}"
DLDA,nyt,deepseek,0,1993,3,2,"{""temporal_coherence"": 3, ""temporal_smoothness"": 2}"
DLDA,nyt,deepseek,0,1994,3,3,"```json
{""temporal_coherence"": 3, ""temporal_smoothness"": 3}
```"
DLDA,nyt,deepseek,0,1995,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,nyt,deepseek,0,1996,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,0,1997,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,nyt,deepseek,0,1998,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,0,1999,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,0,2000,2,2,"{""temporal_coherence"": 2, ""temporal_smoothness"": 2}"
DLDA,nyt,deepseek,0,2001,2,1,"{""temporal_coherence"": 2, ""temporal_smoothness"": 1}"
DLDA,nyt,deepseek,0,2002,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,0,2003,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,0,2004,2,2,"{""temporal_coherence"": 2, ""temporal_smoothness"": 2}"
DLDA,nyt,deepseek,0,2005,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,0,2006,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,1,1988,2,3,"```json
{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 3
}
```"
DLDA,nyt,deepseek,1,1989,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,nyt,deepseek,1,1990,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,1,1991,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,nyt,deepseek,1,1992,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,1,1993,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,1,1994,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,nyt,deepseek,1,1995,2,2,"```json
{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 2
}
```"
DLDA,nyt,deepseek,1,1996,2,2,"```json
{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 2
}
```"
DLDA,nyt,deepseek,1,1997,2,2,"{""temporal_coherence"": 2, ""temporal_smoothness"": 2}"
DLDA,nyt,deepseek,1,1998,3,3,"```json
{""temporal_coherence"": 3, ""temporal_smoothness"": 3}
```"
DLDA,nyt,deepseek,1,1999,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,1,2000,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,1,2001,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,nyt,deepseek,1,2002,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,1,2003,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,nyt,deepseek,1,2004,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,1,2005,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,1,2006,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,nyt,deepseek,2,1988,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,2,1989,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,nyt,deepseek,2,1990,2,2,"```json
{
  ""temporal_coherence"": 2,
  ""temporal_smoothness"": 2
}
```"
