dtm_model,dataset,llm,topic_idx,year,intruder,detected,correct,raw
DETM,neurips,deepseek,0,1987,learning,,False,
DETM,neurips,deepseek,0,1988,size,,False,
DETM,neurips,deepseek,0,1989,inputs,,False,
DETM,neurips,deepseek,0,1990,critical,,False,
DETM,neurips,deepseek,0,1991,machine,,False,
DETM,neurips,deepseek,0,1992,filter,,False,
DETM,neurips,deepseek,0,1993,patterns,,False,
DETM,neurips,deepseek,0,1994,squared,,False,
DETM,neurips,deepseek,0,1995,active,,False,
DETM,neurips,deepseek,0,1996,probability,,False,
DETM,neurips,deepseek,0,1997,computer,,False,
DETM,neurips,deepseek,0,1998,finite,,False,
DETM,neurips,deepseek,0,1999,probability,,False,
DETM,neurips,deepseek,0,2000,specific,,False,
DETM,neurips,deepseek,0,2001,words,,False,
DETM,neurips,deepseek,0,2002,zero,,False,
DETM,neurips,deepseek,0,2003,test,,False,
DETM,neurips,deepseek,0,2004,edges,,False,
DETM,neurips,deepseek,0,2005,vision,,False,
DETM,neurips,deepseek,0,2006,analysis,,False,
DETM,neurips,deepseek,0,2007,section,,False,
DETM,neurips,deepseek,0,2008,weights,,False,
DETM,neurips,deepseek,0,2009,algorithm,,False,
DETM,neurips,deepseek,0,2010,property,,False,
DETM,neurips,deepseek,0,2011,variable,,False,
DETM,neurips,deepseek,0,2012,kernel,,False,
DETM,neurips,deepseek,0,2013,convergence,,False,
DETM,neurips,deepseek,0,2014,principal,,False,
DETM,neurips,deepseek,0,2015,questions,,False,
DETM,neurips,deepseek,0,2016,structured,,False,
DETM,neurips,deepseek,0,2017,information,,False,
DETM,neurips,deepseek,0,2018,values,,False,
DETM,neurips,deepseek,0,2019,attention,,False,
DETM,neurips,deepseek,1,1987,clustering,,False,
DETM,neurips,deepseek,1,1988,majority,,False,
DETM,neurips,deepseek,1,1989,method,,False,
DETM,neurips,deepseek,1,1990,weight,,False,
DETM,neurips,deepseek,1,1991,concept,,False,
DETM,neurips,deepseek,1,1992,pruning,,False,
DETM,neurips,deepseek,1,1993,networks,,False,
DETM,neurips,deepseek,1,1994,character,,False,
DETM,neurips,deepseek,1,1995,unit,,False,
DETM,neurips,deepseek,1,1996,clusters,,False,
DETM,neurips,deepseek,1,1997,little,,False,
DETM,neurips,deepseek,1,1998,action,,False,
DETM,neurips,deepseek,1,1999,global,,False,
DETM,neurips,deepseek,1,2000,mixture,,False,
DETM,neurips,deepseek,1,2001,images,,False,
DETM,neurips,deepseek,1,2002,domain,,False,
DETM,neurips,deepseek,1,2003,covariance,,False,
DETM,neurips,deepseek,1,2004,pair,,False,
DETM,neurips,deepseek,1,2005,distribution,,False,
DETM,neurips,deepseek,1,2006,value,,False,
DETM,neurips,deepseek,1,2007,linear,,False,
DETM,neurips,deepseek,1,2008,vision,,False,
DETM,neurips,deepseek,1,2009,cortex,,False,
DETM,neurips,deepseek,1,2010,approximation,,False,
DETM,neurips,deepseek,1,2011,values,,False,
DETM,neurips,deepseek,1,2012,corpus,,False,
DETM,neurips,deepseek,1,2013,point,,False,
DETM,neurips,deepseek,1,2014,game,,False,
DETM,neurips,deepseek,1,2015,vertex,,False,
DETM,neurips,deepseek,1,2016,following,,False,
DETM,neurips,deepseek,1,2017,space,,False,
DETM,neurips,deepseek,1,2018,generate,,False,
DETM,neurips,deepseek,1,2019,function,,False,
DETM,neurips,deepseek,2,1987,states,,False,
DETM,neurips,deepseek,2,1988,press,,False,
DETM,neurips,deepseek,2,1989,output,,False,
DETM,neurips,deepseek,2,1990,represented,,False,
DETM,neurips,deepseek,2,1991,networks,,False,
DETM,neurips,deepseek,2,1992,constraint,,False,
DETM,neurips,deepseek,2,1993,example,,False,
DETM,neurips,deepseek,2,1994,error,,False,
DETM,neurips,deepseek,2,1995,output,,False,
DETM,neurips,deepseek,2,1996,cross,,False,
DETM,neurips,deepseek,2,1997,field,,False,
DETM,neurips,deepseek,2,1998,variables,,False,
DETM,neurips,deepseek,2,1999,zero,,False,
DETM,neurips,deepseek,2,2000,random,,False,
DETM,neurips,deepseek,2,2001,zero,,False,
DETM,neurips,deepseek,2,2002,trajectory,,False,
DETM,neurips,deepseek,2,2003,space,,False,
DETM,neurips,deepseek,2,2004,speech,,False,
DETM,neurips,deepseek,2,2005,neural,,False,
DETM,neurips,deepseek,2,2006,sensor,,False,
DETM,neurips,deepseek,2,2007,variable,,False,
DETM,neurips,deepseek,2,2008,machine,,False,
DETM,neurips,deepseek,2,2009,means,,False,
DETM,neurips,deepseek,2,2010,values,,False,
DETM,neurips,deepseek,2,2011,tree,,False,
DETM,neurips,deepseek,2,2012,plan,,False,
DETM,neurips,deepseek,2,2013,nearest,,False,
DETM,neurips,deepseek,2,2014,high,,False,
DETM,neurips,deepseek,2,2015,decision,,False,
DETM,neurips,deepseek,2,2016,parallel,,False,
DETM,neurips,deepseek,2,2017,networks,,False,
DETM,neurips,deepseek,2,2018,neural,,False,
DETM,neurips,deepseek,2,2019,translation,,False,
DETM,neurips,deepseek,3,1987,failure,,False,
DETM,neurips,deepseek,3,1988,storage,,False,
DETM,neurips,deepseek,3,1989,source,,False,
DETM,neurips,deepseek,3,1990,group,,False,
DETM,neurips,deepseek,3,1991,space,,False,
DETM,neurips,deepseek,3,1992,paper,,False,
DETM,neurips,deepseek,3,1993,block,,False,
DETM,neurips,deepseek,3,1994,artificial,,False,
DETM,neurips,deepseek,3,1995,mixture,,False,
DETM,neurips,deepseek,3,1996,input,,False,
DETM,neurips,deepseek,3,1997,editors,,False,
DETM,neurips,deepseek,3,1998,direction,,False,
DETM,neurips,deepseek,3,1999,neural,,False,
DETM,neurips,deepseek,3,2000,state,,False,
DETM,neurips,deepseek,3,2001,theorem,,False,
DETM,neurips,deepseek,3,2002,convergence,,False,
DETM,neurips,deepseek,3,2003,clustering,,False,
DETM,neurips,deepseek,3,2004,layer,,False,
DETM,neurips,deepseek,3,2005,problems,,False,
DETM,neurips,deepseek,3,2006,empirical,,False,
DETM,neurips,deepseek,3,2007,features,,False,
DETM,neurips,deepseek,3,2008,factors,,False,
DETM,neurips,deepseek,3,2009,gaussian,,False,
DETM,neurips,deepseek,3,2010,recognition,,False,
DETM,neurips,deepseek,3,2011,similarity,,False,
DETM,neurips,deepseek,3,2012,natural,,False,
DETM,neurips,deepseek,3,2013,random,,False,
DETM,neurips,deepseek,3,2014,action,,False,
DETM,neurips,deepseek,3,2015,algorithm,,False,
DETM,neurips,deepseek,3,2016,means,,False,
DETM,neurips,deepseek,3,2017,function,,False,
DETM,neurips,deepseek,3,2018,linear,,False,
DETM,neurips,deepseek,3,2019,local,,False,
DETM,neurips,deepseek,4,1987,single,,False,
DETM,neurips,deepseek,4,1988,output,,False,
DETM,neurips,deepseek,4,1989,column,,False,
DETM,neurips,deepseek,4,1990,activity,,False,
DETM,neurips,deepseek,4,1991,trees,,False,
DETM,neurips,deepseek,4,1992,performance,,False,
DETM,neurips,deepseek,4,1993,output,,False,
DETM,neurips,deepseek,4,1994,speech,,False,
DETM,neurips,deepseek,4,1995,data,,False,
DETM,neurips,deepseek,4,1996,nodes,,False,
DETM,neurips,deepseek,4,1997,number,,False,
DETM,neurips,deepseek,4,1998,analog,,False,
DETM,neurips,deepseek,4,1999,learns,,False,
DETM,neurips,deepseek,4,2000,discrimination,,False,
DETM,neurips,deepseek,4,2001,exact,,False,
DETM,neurips,deepseek,4,2002,density,,False,
DETM,neurips,deepseek,4,2003,distribution,,False,
DETM,neurips,deepseek,4,2004,statistical,,False,
DETM,neurips,deepseek,4,2005,constraints,,False,
DETM,neurips,deepseek,4,2006,dynamics,,False,
DETM,neurips,deepseek,4,2007,samples,,False,
DETM,neurips,deepseek,4,2008,term,,False,
DETM,neurips,deepseek,4,2009,recovery,,False,
DETM,neurips,deepseek,4,2010,document,,False,
DETM,neurips,deepseek,4,2011,clustering,,False,
