dtm_model,dataset,llm,topic_idx,year,temporal_coherence,temporal_smoothness,raw
DLDA,unDebates,deepseek,0,1971,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,unDebates,deepseek,0,1972,3,3,"```json
{""temporal_coherence"": 3, ""temporal_smoothness"": 3}
```"
DLDA,unDebates,deepseek,0,1973,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1974,3,2,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 2
}
```"
DLDA,unDebates,deepseek,0,1975,,,
DLDA,unDebates,deepseek,0,1976,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,unDebates,deepseek,0,1977,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1978,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1979,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1980,,,
DLDA,unDebates,deepseek,0,1981,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1982,2,2,"{""temporal_coherence"": 2, ""temporal_smoothness"": 2}"
DLDA,unDebates,deepseek,0,1983,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1984,3,2,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 2
}
```"
DLDA,unDebates,deepseek,0,1985,,,
DLDA,unDebates,deepseek,0,1986,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1987,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1988,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1989,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1990,,,
DLDA,unDebates,deepseek,0,1991,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1992,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,unDebates,deepseek,0,1993,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,unDebates,deepseek,0,1994,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1995,,,
DLDA,unDebates,deepseek,0,1996,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1997,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1998,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,1999,3,2,"{""temporal_coherence"": 3, ""temporal_smoothness"": 2}"
DLDA,unDebates,deepseek,0,2000,,,
DLDA,unDebates,deepseek,0,2001,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,2002,3,2,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 2
}
```"
DLDA,unDebates,deepseek,0,2003,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,2004,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,2005,,,
DLDA,unDebates,deepseek,0,2006,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,2007,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,2008,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,unDebates,deepseek,0,2009,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,2010,,,
DLDA,unDebates,deepseek,0,2011,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,unDebates,deepseek,0,2012,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,unDebates,deepseek,0,2013,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,2014,2,3,"{""temporal_coherence"": 2, ""temporal_smoothness"": 3}"
DLDA,unDebates,deepseek,0,2015,,,
DLDA,unDebates,deepseek,0,2016,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
DLDA,unDebates,deepseek,0,2017,3,2,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 2
}
```"
DLDA,unDebates,deepseek,0,2018,3,3,"```json
{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}
```"
