dtm_model,dataset,llm,topic_idx,year_start,year_end,label,justification,raw
DETM,unDebates,llama,0,1970,1972,Minor drift,"The topic evolution shows a gradual shift in word order and addition of new words, but the core theme of 'military' or 'power' remains consistent across the years.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in word order and addition of new words, but the core theme of 'military' or 'power' remains consistent across the years.""
}"
DETM,unDebates,llama,0,1973,1975,Minor drift,"The topic evolution shows a slight reordering of words, but the overall theme of military power and freedom remains consistent, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a slight reordering of words, but the overall theme of military power and freedom remains consistent, indicating a minor drift rather than a significant semantic change.""
}"
DETM,unDebates,llama,0,1976,1978,Meaningful evolution,"The topics seem to shift from a focus on military and space-related themes in 1976 to a broader focus on life, science, and technology in 1978, indicating a semantic shift towards more abstract and futuristic concepts.","{
  ""label"": ""Meaningful evolution"",
  ""justification"": ""The topics seem to shift from a focus on military and space-related themes in 1976 to a broader focus on life, science, and technology in 1978, indicating a semantic shift towards more abstract and futuristic concepts.""
}"
DETM,unDebates,llama,0,1979,1981,Minor drift,"The topic evolution shows a gradual shift in word order and addition of new words, but the overall theme and vocabulary remain consistent, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in word order and addition of new words, but the overall theme and vocabulary remain consistent, indicating a minor drift rather than a significant semantic change.""
}"
DETM,unDebates,llama,0,1982,1984,Minor drift,"The topic evolution shows a gradual shift in word order and some word replacements, but the overall theme of global issues and human concerns remains consistent across the years.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in word order and some word replacements, but the overall theme of global issues and human concerns remains consistent across the years.""
}"
DETM,unDebates,llama,0,1985,1987,Minor drift,"The changes in the topic representation are subtle and consistent, with some words being replaced or reordered, but the overall theme of 'development and resources' remains relatively stable.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The changes in the topic representation are subtle and consistent, with some words being replaced or reordered, but the overall theme of 'development and resources' remains relatively stable.""
}"
DETM,unDebates,llama,0,1988,1990,Meaningful evolution,"The topic evolution shows a consistent shift in focus from 'debt' and 'industrial' in 1988 to a stronger emphasis on 'environment' and 'climate' in 1989 and 1990, indicating a real-world semantic shift in the topic's focus from economic development to environmental concerns.","{
  ""label"": ""Meaningful evolution"",
  ""justification"": ""The topic evolution shows a consistent shift in focus from 'debt' and 'industrial' in 1988 to a stronger emphasis on 'environment' and 'climate' in 1989 and 1990, indicating a real-world semantic shift in the topic's focus from economic development to environmental concerns.""
}"
DETM,unDebates,llama,0,1991,1993,Meaningful evolution,"The topic evolves from focusing on general environmental and poverty issues to a more specific discussion of sustainable development and effective management, indicating a real-world semantic shift.","{
  ""label"": ""Meaningful evolution"",
  ""justification"": ""The topic evolves from focusing on general environmental and poverty issues to a more specific discussion of sustainable development and effective management, indicating a real-world semantic shift.""
}"
DETM,unDebates,llama,0,1994,1996,Minor drift,"The topic evolution shows a gradual shift in emphasis from 'resources' and 'sustainable' to 'cooperation' and 'reform', but the core themes remain relatively consistent, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in emphasis from 'resources' and 'sustainable' to 'cooperation' and 'reform', but the core themes remain relatively consistent, indicating a minor drift rather than a significant semantic change.""
}"
DETM,unDebates,llama,0,1997,1999,Minor drift,"The topic evolution shows a gradual shift in word order and addition of new words, but the core themes of cooperation, sustainability, and global challenges remain consistent across the years.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in word order and addition of new words, but the core themes of cooperation, sustainability, and global challenges remain consistent across the years.""
}"
DETM,unDebates,llama,0,2000,2002,Meaningful evolution,"The topic evolution shows a shift from a focus on 'millennium' and 'level' in 2000 to a stronger emphasis on 'sustainable' and 'community' in 2001 and 2002, indicating a semantic shift towards more specific and localized cooperation efforts.","{
  ""label"": ""Meaningful evolution"",
  ""justification"": ""The topic evolution shows a shift from a focus on 'millennium' and 'level' in 2000 to a stronger emphasis on 'sustainable' and 'community' in 2001 and 2002, indicating a semantic shift towards more specific and localized cooperation efforts.""
}"
DETM,unDebates,llama,0,2003,2005,Minor drift,"The topic evolution shows a gradual shift in word order and some word replacements, but the overall theme of international cooperation and global issues remains consistent.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in word order and some word replacements, but the overall theme of international cooperation and global issues remains consistent.""
}"
DETM,unDebates,llama,0,2006,2008,Minor drift,"The topic evolution shows a gradual shift in emphasis, with some words entering or leaving the topic, but the overall theme of cooperation and policy remains consistent.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in emphasis, with some words entering or leaving the topic, but the overall theme of cooperation and policy remains consistent.""
}"
DETM,unDebates,llama,0,2009,2011,Minor drift,"The topic evolution shows a gradual shift in word usage, with some words (e.g., 'protection', 'community') disappearing and others (e.g., 'policies', 'government') emerging, but the overall theme of cooperation and policy remains consistent.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in word usage, with some words (e.g., 'protection', 'community') disappearing and others (e.g., 'policies', 'government') emerging, but the overall theme of cooperation and policy remains consistent.""
}"
DETM,unDebates,llama,0,2012,2014,Minor drift,"The words shift in order, but the overall theme of government policies and cooperation remains consistent, indicating a minor adjustment rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The words shift in order, but the overall theme of government policies and cooperation remains consistent, indicating a minor adjustment rather than a significant semantic change.""
}"
DETM,unDebates,llama,0,2015,2017,Minor drift,"The topic evolution shows a consistent presence of key terms like 'government', 'policies', 'national', and 'country', indicating a stable topic, but with some minor reordering of terms, suggesting a gradual shift in emphasis rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a consistent presence of key terms like 'government', 'policies', 'national', and 'country', indicating a stable topic, but with some minor reordering of terms, suggesting a gradual shift in emphasis rather than a significant semantic change.""
}"
DETM,unDebates,llama,0,2018,2020,Minor drift,"The topic evolution shows a gradual shift in word order and emphasis, but the core concepts and themes remain consistent, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in word order and emphasis, but the core concepts and themes remain consistent, indicating a minor drift rather than a significant semantic change.""
}"
DETM,unDebates,llama,1,1970,1972,Meaningful evolution,"The topic evolution reflects a shift from a focus on conflict and disarmament to a focus on detente and relations, indicating a real-world semantic shift in the context of European politics during the 1970s.","{
  ""label"": ""Meaningful evolution"",
  ""justification"": ""The topic evolution reflects a shift from a focus on conflict and disarmament to a focus on detente and relations, indicating a real-world semantic shift in the context of European politics during the 1970s.""
}"
DETM,unDebates,llama,1,1973,1975,Minor drift,"The topic evolution shows a consistent shift in word order, but the words themselves remain largely the same, indicating a minor change in the topic's representation rather than a significant semantic shift.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a consistent shift in word order, but the words themselves remain largely the same, indicating a minor change in the topic's representation rather than a significant semantic shift.""
}"
DETM,unDebates,llama,1,1976,1978,Meaningful evolution,"The topic evolves from focusing on 'detente' and 'european' in 1976 to emphasizing 'disarmament' and 'peaceful' in 1978, indicating a shift from a focus on diplomatic relations to a focus on arms reduction and peaceful resolution.","{
  ""label"": ""Meaningful evolution"",
  ""justification"": ""The topic evolves from focusing on 'detente' and 'european' in 1976 to emphasizing 'disarmament' and 'peaceful' in 1978, indicating a shift from a focus on diplomatic relations to a focus on arms reduction and peaceful resolution.""
}"
DETM,unDebates,llama,1,1979,1981,Minor drift,"The topic evolution shows a gradual shift in word emphasis, but the underlying themes of disarmament, negotiations, and progress remain consistent, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in word emphasis, but the underlying themes of disarmament, negotiations, and progress remain consistent, indicating a minor drift rather than a significant semantic change.""
}"
DETM,unDebates,llama,1,1982,1984,Minor drift,"The topic evolution shows a gradual shift in word order, but the core words related to international relations and diplomacy ('operation', 'negotiations', 'disarmament', 'force', 'dialogue') remain consistent, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in word order, but the core words related to international relations and diplomacy ('operation', 'negotiations', 'disarmament', 'force', 'dialogue') remain consistent, indicating a minor drift rather than a significant semantic change.""
}"
DETM,unDebates,llama,1,1985,1987,Minor drift,"The topic evolution shows a gradual shift in emphasis from 'negotiations' and 'disarmament' to 'conflict' and 'progress', but the core themes remain relatively consistent.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in emphasis from 'negotiations' and 'disarmament' to 'conflict' and 'progress', but the core themes remain relatively consistent.""
}"
DETM,unDebates,llama,1,1988,1990,Meaningful evolution,"The topic evolution shows a shift from a focus on disarmament and conflict resolution in 1988-1989 to a more specific regional crisis (Gulf crisis) in 1990, indicating a real-world semantic shift.","{
  ""label"": ""Meaningful evolution"",
  ""justification"": ""The topic evolution shows a shift from a focus on disarmament and conflict resolution in 1988-1989 to a more specific regional crisis (Gulf crisis) in 1990, indicating a real-world semantic shift.""
}"
DETM,unDebates,llama,1,1991,1993,Meaningful evolution,"The topic evolution shows a shift from a focus on the Gulf Crisis and conflict in 1991 to a focus on conflict resolution and peaceful efforts in 1992 and 1993, indicating a semantic change from crisis to resolution.","{
  ""label"": ""Meaningful evolution"",
  ""justification"": ""The topic evolution shows a shift from a focus on the Gulf Crisis and conflict in 1991 to a focus on conflict resolution and peaceful efforts in 1992 and 1993, indicating a semantic change from crisis to resolution.""
}"
DETM,unDebates,llama,1,1994,1996,Minor drift,"The topic evolution shows a consistent presence of core terms like 'conflict', 'measures', 'stability', and 'lasting', with some minor variations in the surrounding terms, indicating a gradual shift in emphasis rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a consistent presence of core terms like 'conflict', 'measures', 'stability', and 'lasting', with some minor variations in the surrounding terms, indicating a gradual shift in emphasis rather than a significant semantic change.""
}"
DETM,unDebates,llama,1,1997,1999,Minor drift,"The topic evolution shows a gradual shift in focus from 'measures' and 'efforts' to 'causes' and 'suffering', but the core themes of 'conflict', 'political', and 'community' remain consistent, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in focus from 'measures' and 'efforts' to 'causes' and 'suffering', but the core themes of 'conflict', 'political', and 'community' remain consistent, indicating a minor drift rather than a significant semantic change.""
}"
DETM,unDebates,llama,1,2000,2002,Meaningful evolution,"The topic evolution shows a shift from a focus on the causes and conditions of conflict in 2000 to a greater emphasis on the violence and suffering associated with it in 2001 and 2002, indicating a real-world semantic shift in the context of the topic.","{
  ""label"": ""Meaningful evolution"",
  ""justification"": ""The topic evolution shows a shift from a focus on the causes and conditions of conflict in 2000 to a greater emphasis on the violence and suffering associated with it in 2001 and 2002, indicating a real-world semantic shift in the context of the topic.""
}"
