dtm_model,dataset,llm,topic_idx,year_start,year_end,label,justification,raw
DLDA,unDebates,llama,0,1970,1972,Minor drift,"The topic evolution shows a slight shift in word order, but the overall vocabulary and themes remain consistent, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a slight shift in word order, but the overall vocabulary and themes remain consistent, indicating a minor drift rather than a significant semantic change.""
}"
DLDA,unDebates,llama,0,1973,1975,Minor drift,"The changes in the topic representation are subtle and incremental, with 'stability' replacing 'past' in 1974 and 'past' being replaced by 'stability' being replaced by no change in 1975, suggesting a gradual refinement of the topic rather than a significant semantic shift.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The changes in the topic representation are subtle and incremental, with 'stability' replacing 'past' in 1974 and 'past' being replaced by 'stability' being replaced by no change in 1975, suggesting a gradual refinement of the topic rather than a significant semantic shift.""
}"
DLDA,unDebates,llama,0,1976,1978,Minor drift,"The topic evolution shows a consistent focus on geopolitical events in Southeast Asia, with minor changes in word order and emphasis, indicating a gradual shift in attention rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a consistent focus on geopolitical events in Southeast Asia, with minor changes in word order and emphasis, indicating a gradual shift in attention rather than a significant semantic change.""
}"
DLDA,unDebates,llama,0,1979,1981,Minor drift,"The topic evolution shows a gradual shift from mentioning 'stability' and 'republic' in 1979 to 'asean' in 1981, but the overall theme remains focused on Southeast Asian geopolitics, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift from mentioning 'stability' and 'republic' in 1979 to 'asean' in 1981, but the overall theme remains focused on Southeast Asian geopolitics, indicating a minor drift rather than a significant semantic change.""
}"
DLDA,unDebates,llama,0,1982,1984,Minor drift,"The topic evolution shows a gradual shift in focus from 'stability' to 'cambodia', but the overall theme remains consistent, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in focus from 'stability' to 'cambodia', but the overall theme remains consistent, indicating a minor drift rather than a significant semantic change.""
}"
DLDA,unDebates,llama,0,1985,1987,Minor drift,"The topic evolution shows a slight shift in word order, but the overall theme of Southeast Asian geopolitics and regional stability remains consistent across the three years, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a slight shift in word order, but the overall theme of Southeast Asian geopolitics and regional stability remains consistent across the three years, indicating a minor drift rather than a significant semantic change.""
}"
DLDA,unDebates,llama,0,1988,1990,Minor drift,"The topic evolution shows a consistent focus on Southeast Asian countries and economic stability, with minor variations in word order and slight changes in word presence, indicating a gradual shift in emphasis rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a consistent focus on Southeast Asian countries and economic stability, with minor variations in word order and slight changes in word presence, indicating a gradual shift in emphasis rather than a significant semantic change.""
}"
DLDA,unDebates,llama,0,1991,1993,Minor drift,"The topic evolution shows a slight shift in word order, but the overall theme of regional economic and political cooperation in Southeast Asia remains consistent, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a slight shift in word order, but the overall theme of regional economic and political cooperation in Southeast Asia remains consistent, indicating a minor drift rather than a significant semantic change.""
}"
DLDA,unDebates,llama,0,1994,1996,Minor drift,"The topic evolution shows a consistent shift in word order, but the words themselves remain largely the same, indicating a minor change in the topic's representation rather than a significant semantic shift.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a consistent shift in word order, but the words themselves remain largely the same, indicating a minor change in the topic's representation rather than a significant semantic shift.""
}"
DLDA,unDebates,llama,0,1997,1999,Minor drift,"The topic evolution shows a consistent and gradual shift in word order, but the words themselves remain largely the same, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a consistent and gradual shift in word order, but the words themselves remain largely the same, indicating a minor drift rather than a significant semantic change.""
}"
