dtm_model,dataset,llm,topic_idx,year,intruder,detected,correct,raw
DETM,unDebates,llama,0,1970,human,called,False,called
DETM,unDebates,llama,0,1971,peaceful,free,False,free
DETM,unDebates,llama,0,1972,imperialism,free,False,free
DETM,unDebates,llama,0,1973,state,free,False,free
DETM,unDebates,llama,0,1974,aggression,called,False,called
DETM,unDebates,llama,0,1975,efforts,power,False,Power
DETM,unDebates,llama,0,1976,increase,space,False,Space
DETM,unDebates,llama,0,1977,territories,life,False,Life
DETM,unDebates,llama,0,1978,step,arms,False,arms
DETM,unDebates,llama,0,1979,imperialism,life,False,Life
DETM,unDebates,llama,0,1980,principles,hunger,False,hunger
DETM,unDebates,llama,0,1981,union,rich,False,Rich
DETM,unDebates,llama,0,1982,based,rich,False,Rich
DETM,unDebates,llama,0,1983,common,rich,False,rich
DETM,unDebates,llama,0,1984,today,today,True,today
DETM,unDebates,llama,0,1985,regime,technology,False,Technology
DETM,unDebates,llama,0,1986,mankind,arms,False,Arms
DETM,unDebates,llama,0,1987,political,year:,False,"Year: 1987

The word that is LEAST related to the others is: 'political'"
DETM,unDebates,llama,0,1988,dialogue,year:,False,"Year: 1988
Topic words: ['resources', 'poverty', 'environment', 'dialogue', 'developing', 'debt']

Dialogue"
DETM,unDebates,llama,0,1989,living,debt,False,debt
DETM,unDebates,llama,0,1990,achieve,year,False,Year
DETM,unDebates,llama,0,1991,national,year:,False,"Year: 1991
Topic words: ['national', 'environment', 'resources', 'poverty', 'environmental', 'global']

Poverty"
DETM,unDebates,llama,0,1992,support,year:,False,Year: 1992
DETM,unDebates,llama,0,1993,salvador,year,False,Year
DETM,unDebates,llama,0,1994,aggression,aggression,True,Aggression
DETM,unDebates,llama,0,1995,imposed,imposed,True,imposed
DETM,unDebates,llama,0,1996,protection,year,False,Year
DETM,unDebates,llama,0,1997,minister,minister,True,Minister
DETM,unDebates,llama,0,1998,angola,year,False,Year
DETM,unDebates,llama,0,1999,africa,africa,True,Africa
DETM,unDebates,llama,0,2000,come,come,True,come
DETM,unDebates,llama,0,2001,political,year,False,Year
DETM,unDebates,llama,0,2002,conflict,conflict,True,Conflict
DETM,unDebates,llama,0,2003,charter,year,False,Year
DETM,unDebates,llama,0,2004,progress,year,False,Year
DETM,unDebates,llama,0,2005,divide,divide,True,divide
DETM,unDebates,llama,0,2006,sovereignty,national,False,National
DETM,unDebates,llama,0,2007,high,high,True,high
DETM,unDebates,llama,0,2008,agriculture,agriculture,True,Agriculture
DETM,unDebates,llama,0,2009,role,year,False,Year
DETM,unDebates,llama,0,2010,moon,moon,True,Moon
DETM,unDebates,llama,0,2011,european,year,False,Year
DETM,unDebates,llama,0,2012,criminal,measures,False,measures
DETM,unDebates,llama,0,2013,drugs,year,False,Year
DETM,unDebates,llama,0,2014,human,human,True,human
DETM,unDebates,llama,0,2015,elections,measures,False,measures
DETM,unDebates,llama,0,2016,crisis,year,False,Year
DETM,unDebates,llama,0,2017,respect,year,False,Year
DETM,unDebates,llama,0,2018,iran,year,False,Year
DETM,unDebates,llama,0,2019,central,measures,False,measures
DETM,unDebates,llama,0,2020,climate,climate,True,Climate
DETM,unDebates,llama,1,1970,distinguished,operation,False,Operation
DETM,unDebates,llama,1,1971,arms,year:,False,"Year: 1971

The word that is LEAST related to the others is: 'efforts'."
DETM,unDebates,llama,1,1972,meeting,operation,False,operation
DETM,unDebates,llama,1,1973,hope,year,False,Year
DETM,unDebates,llama,1,1974,problems,year:,False,"Year: 1974

The word that is LEAST related to the others is: 'efforts'"
DETM,unDebates,llama,1,1975,wish,wish,True,Wish
DETM,unDebates,llama,1,1976,level,operation,False,Operation
DETM,unDebates,llama,1,1977,territorial,economic,False,Economic
DETM,unDebates,llama,1,1978,interdependence,year,False,Year
DETM,unDebates,llama,1,1979,concern,operation,False,Operation
DETM,unDebates,llama,1,1980,peoples,operation,False,Operation
DETM,unDebates,llama,1,1981,viet,progress,False,Progress
DETM,unDebates,llama,1,1982,state,year,False,Year
DETM,unDebates,llama,1,1983,solution,force,False,Force
DETM,unDebates,llama,1,1984,space,space,True,Space
DETM,unDebates,llama,1,1985,political,operation,False,Operation
DETM,unDebates,llama,1,1986,american,american,True,American
DETM,unDebates,llama,1,1987,south,year:,False,"Year: 1987

Operation"
DETM,unDebates,llama,1,1988,asia,asia,True,Asia
DETM,unDebates,llama,1,1989,conference,operation,False,Operation
DETM,unDebates,llama,1,1990,morocco,morocco,True,Morocco
DETM,unDebates,llama,1,1991,called,called,True,called
DETM,unDebates,llama,1,1992,important,community,False,Community
DETM,unDebates,llama,1,1993,social,year,False,Year
DETM,unDebates,llama,1,1994,kuwait,community,False,Community
DETM,unDebates,llama,1,1995,national,community,False,Community
DETM,unDebates,llama,1,1996,drug,measures,False,measures
DETM,unDebates,llama,1,1997,process,year,False,Year
DETM,unDebates,llama,1,1998,abuse,measures,False,Measures
DETM,unDebates,llama,1,1999,common,common,True,common
DETM,unDebates,llama,1,2000,secretary,year:,False,"Year: 2000
Topic words: ['conflict', 'secretary', 'measures', 'community', 'conflicts', 'political']

Measures"
DETM,unDebates,llama,1,2001,fight,measures,False,measures
DETM,unDebates,llama,1,2002,committed,year,False,Year
DETM,unDebates,llama,1,2003,region,middle,False,middle
DETM,unDebates,llama,1,2004,social,year,False,Year
DETM,unDebates,llama,1,2005,respect,year:,False,"Year: 2005
Topic words: ['respect', 'conflicts', 'conflict', 'violence', 'lasting', 'community']

The word is: lasting"
DETM,unDebates,llama,1,2006,community,year,False,Year
DETM,unDebates,llama,1,2007,second,second,True,Second
DETM,unDebates,llama,1,2008,second,second,True,Second
DETM,unDebates,llama,1,2009,east,lasting,False,lasting
DETM,unDebates,llama,1,2010,agricultural,agricultural,True,Agricultural
DETM,unDebates,llama,1,2011,gender,gender,True,Gender
DETM,unDebates,llama,1,2012,leone,leone,True,Leone
DETM,unDebates,llama,1,2013,solutions,solutions,True,solutions
DETM,unDebates,llama,1,2014,measures,measures,True,measures
DETM,unDebates,llama,1,2015,regional,iraq,False,Iraq
DETM,unDebates,llama,1,2016,continue,continue,True,continue
DETM,unDebates,llama,1,2017,kingdom,kingdom,True,Kingdom
DETM,unDebates,llama,1,2018,level,iran,False,Iran
DETM,unDebates,llama,1,2019,fifth,fifth,True,Fifth
DETM,unDebates,llama,1,2020,economy,economy,True,Economy
DETM,unDebates,llama,2,1970,progress,progress,True,Progress
DETM,unDebates,llama,2,1971,union,year,False,Year
DETM,unDebates,llama,2,1972,article,year,False,Year
DETM,unDebates,llama,2,1973,disarmament,terrorism,False,terrorism
DETM,unDebates,llama,2,1974,special,charter,False,charter
DETM,unDebates,llama,2,1975,state,state,True,State
DETM,unDebates,llama,2,1976,political,year:,False,"Year: 1976

The word that is LEAST related to the others is: turkey"
DETM,unDebates,llama,2,1977,express,cyprus,False,Cyprus
DETM,unDebates,llama,2,1978,science,science,True,Science
DETM,unDebates,llama,2,1979,force,lebanon,False,Lebanon
DETM,unDebates,llama,2,1980,long,lebanon,False,Lebanon
DETM,unDebates,llama,2,1981,forces,position,False,Position
DETM,unDebates,llama,2,1982,weapons,year,False,Year
DETM,unDebates,llama,2,1983,regime,year,False,Year
DETM,unDebates,llama,2,1984,argentina,argentina,True,Argentina
DETM,unDebates,llama,2,1985,life,life,True,life
DETM,unDebates,llama,2,1986,javier,javier,True,Javier
DETM,unDebates,llama,2,1987,german,afghanistan,False,Afghanistan
DETM,unDebates,llama,2,1988,saint,saint,True,saint
DETM,unDebates,llama,2,1989,regime,positive,False,positive
DETM,unDebates,llama,2,1990,events,positive,False,positive
DETM,unDebates,llama,2,1991,important,east,False,east
DETM,unDebates,llama,2,1992,year,year,True,Year
DETM,unDebates,llama,2,1993,determination,positive,False,Positive
DETM,unDebates,llama,2,1994,economic,positive,False,positive
DETM,unDebates,llama,2,1995,vienna,france,False,France
DETM,unDebates,llama,2,1996,herzegovina,kingdom,False,Kingdom
DETM,unDebates,llama,2,1997,build,kingdom,False,kingdom
DETM,unDebates,llama,2,1998,order,kingdom,False,kingdom
DETM,unDebates,llama,2,1999,capital,kingdom,False,Kingdom
DETM,unDebates,llama,2,2000,appreciation,appreciation,True,appreciation
DETM,unDebates,llama,2,2001,state,region,False,Region
DETM,unDebates,llama,2,2002,russian,'including',False,'including'
DETM,unDebates,llama,2,2003,election,road,False,Road
DETM,unDebates,llama,2,2004,economic,road,False,Road
DETM,unDebates,llama,2,2005,permanent,permanent,True,permanent
DETM,unDebates,llama,2,2006,hope,hope,True,Hope
DETM,unDebates,llama,2,2007,great,great,True,Great
DETM,unDebates,llama,2,2008,years,including,False,including
DETM,unDebates,llama,2,2009,common,common,True,common
DETM,unDebates,llama,2,2010,cent,cent,True,cent
DETM,unDebates,llama,2,2011,planet,planet,True,Planet
DETM,unDebates,llama,2,2012,leaders,building,False,Building
DETM,unDebates,llama,2,2013,global,building,False,Building
DETM,unDebates,llama,2,2014,inclusive,year:,False,"Year: 2014
Topic words: ['building', 'inclusive', 'health', 'government', 'education', 'care']

Care"
DETM,unDebates,llama,2,2015,groups,groups,True,groups
DETM,unDebates,llama,2,2016,support,building,False,building
DETM,unDebates,llama,2,2017,environment,year,False,Year
DETM,unDebates,llama,2,2018,said,building,False,Building
DETM,unDebates,llama,2,2019,life,year,False,Year
DETM,unDebates,llama,2,2020,environment,environment,True,Environment
DETM,unDebates,llama,3,1970,european,european,True,European
DETM,unDebates,llama,3,1971,state,republic,False,republic
DETM,unDebates,llama,3,1972,country,year,False,Year
DETM,unDebates,llama,3,1973,taken,taken,True,Taken
DETM,unDebates,llama,3,1974,decolonization,guinea,False,guinea
DETM,unDebates,llama,3,1975,situation,year:,False,"Year: 1975

The word 'country' is LEAST related to the others."
DETM,unDebates,llama,3,1976,movements,chairman,False,Chairman
DETM,unDebates,llama,3,1977,today,today,True,today
DETM,unDebates,llama,3,1978,military,year:,False,"Year: 1978
Topic words: ['racist', 'imperialism', 'struggle', 'colonialism', 'military', 'regimes']

Military"
DETM,unDebates,llama,3,1979,fundamental,arab,False,Arab
