dtm_model,dataset,llm,topic_idx,year,intruder,detected,correct,raw
DLDA,unDebates,llama,0,1970,terrorist,terrorist,True,terrorist
DLDA,unDebates,llama,0,1971,detente,detente,True,Detente
DLDA,unDebates,llama,0,1972,congo,congo,True,Congo
DLDA,unDebates,llama,0,1973,rights,china,False,China
DLDA,unDebates,llama,0,1974,session,session,True,Session
DLDA,unDebates,llama,0,1975,arms,china,False,China
DLDA,unDebates,llama,0,1976,country,china,False,China
DLDA,unDebates,llama,0,1977,african,african,True,African
DLDA,unDebates,llama,0,1978,economic,economic,True,economic
DLDA,unDebates,llama,0,1979,conference,conference,True,Conference
DLDA,unDebates,llama,0,1980,european,european,True,European
DLDA,unDebates,llama,0,1981,respect,china,False,China
DLDA,unDebates,llama,0,1982,cent,cent,True,cent
DLDA,unDebates,llama,0,1983,islands,islands,True,islands
DLDA,unDebates,llama,0,1984,independence,china,False,China
DLDA,unDebates,llama,0,1985,rights,china,False,China
DLDA,unDebates,llama,0,1986,iran,iran,True,iran
DLDA,unDebates,llama,0,1987,pacific,china,False,China
DLDA,unDebates,llama,0,1988,history,china,False,China
DLDA,unDebates,llama,0,1989,namibia,namibia,True,Namibia
DLDA,unDebates,llama,0,1990,region,china,False,China
DLDA,unDebates,llama,0,1991,principles,principles,True,principles
DLDA,unDebates,llama,0,1992,state,economic,False,Economic
DLDA,unDebates,llama,0,1993,japan,cambodia,False,Cambodia
DLDA,unDebates,llama,0,1994,trafficking,cambodia,False,Cambodia
DLDA,unDebates,llama,0,1995,country,cambodia,False,Cambodia
DLDA,unDebates,llama,0,1996,resolutions,east,False,East
DLDA,unDebates,llama,0,1997,relations,year:,False,"Year: 1997
Topic words: ['asean', 'cooperation', 'cambodia', 'economic', 'relations', 'viet']

The word that is LEAST related to the others is: 'economic'"
DLDA,unDebates,llama,0,1998,political,economic,False,economic
DLDA,unDebates,llama,0,1999,america,america,True,America
DLDA,unDebates,llama,0,2000,efforts,cambodia,False,Cambodia
DLDA,unDebates,llama,0,2001,millennium,cambodia,False,Cambodia
DLDA,unDebates,llama,0,2002,horn,horn,True,Horn
DLDA,unDebates,llama,0,2003,ideas,ideas,True,ideas
DLDA,unDebates,llama,0,2004,resolutions,viet,False,Viet
DLDA,unDebates,llama,0,2005,important,year,False,Year
DLDA,unDebates,llama,0,2006,asia,year,False,Year
DLDA,unDebates,llama,0,2007,positive,year,False,Year
DLDA,unDebates,llama,0,2008,small,year,False,Year
DLDA,unDebates,llama,0,2009,territory,viet,False,Viet
DLDA,unDebates,llama,0,2010,cooperation,year,False,Year
DLDA,unDebates,llama,0,2011,afghan,asean,False,Asean
DLDA,unDebates,llama,0,2012,terrorism,viet,False,viet
DLDA,unDebates,llama,0,2013,weapons,weapons,True,weapons
DLDA,unDebates,llama,0,2014,implemented,year,False,Year
DLDA,unDebates,llama,0,2015,kingdom,kingdom,True,Kingdom
DLDA,unDebates,llama,0,2016,africans,year,False,Year
DLDA,unDebates,llama,0,2017,proliferation,community,False,Community
DLDA,unDebates,llama,0,2018,conflict,community,False,Community
DLDA,unDebates,llama,0,2019,region,year,False,Year
DLDA,unDebates,llama,0,2020,conceived,year,False,Year
DLDA,unDebates,llama,1,1970,racist,racist,True,racist
DLDA,unDebates,llama,1,1971,solution,year:,False,"Year: 1971

The word that is LEAST related to the others is: 'solution'."
DLDA,unDebates,llama,1,1972,conference,conference,True,Conference
DLDA,unDebates,llama,1,1973,principles,year,False,Year
DLDA,unDebates,llama,1,1974,occupied,'occupied',False,'occupied'
DLDA,unDebates,llama,1,1975,country,food,False,Food
DLDA,unDebates,llama,1,1976,region,food,False,food
DLDA,unDebates,llama,1,1977,government,food,False,Food
DLDA,unDebates,llama,1,1978,mankind,mankind,True,mankind
DLDA,unDebates,llama,1,1979,interests,food,False,Food
DLDA,unDebates,llama,1,1980,palestinian,food,False,Food
DLDA,unDebates,llama,1,1981,settlement,settlement,True,Settlement
DLDA,unDebates,llama,1,1982,organizations,year,False,Year
DLDA,unDebates,llama,1,1983,east,year,False,Year
DLDA,unDebates,llama,1,1984,principles,year,False,Year
DLDA,unDebates,llama,1,1985,fundamental,year,False,Year
DLDA,unDebates,llama,1,1986,global,year,False,Year
DLDA,unDebates,llama,1,1987,human,year,False,Year
DLDA,unDebates,llama,1,1988,crimes,crimes,True,crimes
DLDA,unDebates,llama,1,1989,south,year,False,Year
DLDA,unDebates,llama,1,1990,drug,drug,True,drug
DLDA,unDebates,llama,1,1991,africa,year:,False,Year: 1991
DLDA,unDebates,llama,1,1992,china,china,True,China
DLDA,unDebates,llama,1,1993,rights,rights,True,rights
DLDA,unDebates,llama,1,1994,commitment,year,False,Year
DLDA,unDebates,llama,1,1995,cold,cold,True,Cold
DLDA,unDebates,llama,1,1996,super,super,True,Super
DLDA,unDebates,llama,1,1997,cooperation,year,False,Year
DLDA,unDebates,llama,1,1998,stability,year,False,Year
DLDA,unDebates,llama,1,1999,today,today,True,Today
DLDA,unDebates,llama,1,2000,terrorists,developing,False,developing
DLDA,unDebates,llama,1,2001,aggression,aggression,True,Aggression
