topic_id,time_index,llm_coherence,llm_smoothness
13,1,3,2
13,5,3,2
13,9,3,2
13,13,2,2
13,18,2,2
13,22,2,2
13,26,2,2
13,31,3,2
39,1,2,2
39,5,3,2
39,9,2,2
39,13,3,2
39,18,2,2
39,22,3,2
39,26,3,2
39,31,2,3
30,1,3,2
30,5,3,2
30,9,2,2
30,13,2,2
30,18,2,2
30,22,2,3
30,26,2,2
30,31,2,2
45,1,3,2
45,5,3,2
45,9,2,2
45,13,3,2
45,18,3,2
45,22,3,2
45,26,3,2
45,31,3,2
17,1,2,2
17,5,3,2
17,9,2,2
17,13,3,2
17,18,2,2
17,22,3,2
17,26,3,2
17,31,2,2
48,1,3,2
48,5,2,2
48,9,2,2
48,13,2,2
48,18,3,2
48,22,3,2
48,26,2,2
48,31,3,2
26,1,3,2
26,5,3,2
26,9,2,2
26,13,2,2
26,18,3,2
26,22,3,2
26,26,3,2
26,31,3,2
25,1,3,2
25,5,3,3
25,9,3,3
25,13,3,3
25,18,3,2
25,22,3,2
25,26,3,2
25,31,3,2
32,1,3,3
32,5,3,3
32,9,3,2
32,13,3,2
32,18,2,3
32,22,3,2
32,26,3,2
32,31,2,2
19,1,3,2
19,5,2,3
19,9,2,3
19,13,2,2
19,18,2,2
19,22,3,2
19,26,3,2
19,31,2,2
12,1,3,3
12,5,3,2
12,9,2,2
12,13,2,2
12,18,3,2
12,22,2,2
12,26,3,2
12,31,3,2
4,1,3,2
4,5,3,2
4,9,2,2
4,13,2,2
4,18,3,2
4,22,2,2
4,26,3,2
4,31,3,2
37,1,3,2
37,5,3,2
37,9,2,2
37,13,3,2
37,18,3,2
37,22,3,2
37,26,2,3
37,31,3,2
8,1,3,2
8,5,3,2
8,9,2,2
8,13,3,2
8,18,3,2
8,22,3,2
8,26,2,2
8,31,2,2
3,1,2,2
3,5,3,2
3,9,3,2
3,13,2,2
3,18,3,2
3,22,2,2
3,26,3,2
3,31,3,2
