dtm_model,dataset,llm,topic_idx,year,temporal_coherence,temporal_smoothness,raw
DLDA,neurips,qwen,0,1988,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,1989,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,1990,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,1991,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,1992,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,1993,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,1994,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,1995,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,1996,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,1997,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,1998,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,1999,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2000,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2001,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2002,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2003,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2004,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2005,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2006,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2007,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2008,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2009,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2010,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2011,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2012,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2013,3,2,"{""temporal_coherence"": 3, ""temporal_smoothness"": 2}"
DLDA,neurips,qwen,0,2014,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2015,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2016,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2017,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,0,2018,3,2,"{""temporal_coherence"": 3, ""temporal_smoothness"": 2}"
DLDA,neurips,qwen,1,1988,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,1989,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,1990,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,1991,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,1992,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,1993,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,1994,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,1995,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,1996,3,2,"{""temporal_coherence"": 3, ""temporal_smoothness"": 2}"
DLDA,neurips,qwen,1,1997,3,3,"{
  ""temporal_coherence"": 3,
  ""temporal_smoothness"": 3
}"
DLDA,neurips,qwen,1,1998,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,1999,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2000,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2001,3,2,"{""temporal_coherence"": 3, ""temporal_smoothness"": 2}"
DLDA,neurips,qwen,1,2002,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2003,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2004,3,2,"{""temporal_coherence"": 3, ""temporal_smoothness"": 2}"
DLDA,neurips,qwen,1,2005,3,2,"{""temporal_coherence"": 3, ""temporal_smoothness"": 2}"
DLDA,neurips,qwen,1,2006,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2007,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2008,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2009,3,2,"{""temporal_coherence"": 3, ""temporal_smoothness"": 2}"
DLDA,neurips,qwen,1,2010,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2011,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2012,3,2,"{""temporal_coherence"": 3, ""temporal_smoothness"": 2}"
DLDA,neurips,qwen,1,2013,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2014,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2015,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2016,3,2,"{""temporal_coherence"": 3, ""temporal_smoothness"": 2}"
DLDA,neurips,qwen,1,2017,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,1,2018,3,2,"{""temporal_coherence"": 3, ""temporal_smoothness"": 2}"
DLDA,neurips,qwen,2,1988,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,2,1989,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,2,1990,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,2,1991,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,2,1992,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,2,1993,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
DLDA,neurips,qwen,2,1994,3,3,"{""temporal_coherence"": 3, ""temporal_smoothness"": 3}"
