dtm_model,dataset,llm,topic_idx,year_start,year_end,label,justification,raw
DETM,neurips,deepseek,0,1987,1989,,,
DETM,neurips,deepseek,0,1990,1992,,,
DETM,neurips,deepseek,0,1993,1995,,,
DETM,neurips,deepseek,0,1996,1998,,,
DETM,neurips,deepseek,0,1999,2001,,,
DETM,neurips,deepseek,0,2002,2004,,,
DETM,neurips,deepseek,0,2005,2007,,,
DETM,neurips,deepseek,0,2008,2010,,,
DETM,neurips,deepseek,0,2011,2013,,,
DETM,neurips,deepseek,0,2014,2016,,,
DETM,neurips,deepseek,0,2017,2019,,,
DETM,neurips,deepseek,1,1987,1989,,,
DETM,neurips,deepseek,1,1990,1992,,,
DETM,neurips,deepseek,1,1993,1995,,,
DETM,neurips,deepseek,1,1996,1998,,,
DETM,neurips,deepseek,1,1999,2001,,,
DETM,neurips,deepseek,1,2002,2004,,,
DETM,neurips,deepseek,1,2005,2007,,,
DETM,neurips,deepseek,1,2008,2010,,,
DETM,neurips,deepseek,1,2011,2013,,,
DETM,neurips,deepseek,1,2014,2016,,,
DETM,neurips,deepseek,1,2017,2019,,,
DETM,neurips,deepseek,2,1987,1989,,,
DETM,neurips,deepseek,2,1990,1992,,,
DETM,neurips,deepseek,2,1993,1995,,,
DETM,neurips,deepseek,2,1996,1998,,,
DETM,neurips,deepseek,2,1999,2001,,,
DETM,neurips,deepseek,2,2002,2004,,,
DETM,neurips,deepseek,2,2005,2007,,,
DETM,neurips,deepseek,2,2008,2010,,,
DETM,neurips,deepseek,2,2011,2013,,,
DETM,neurips,deepseek,2,2014,2016,,,
DETM,neurips,deepseek,2,2017,2019,,,
DETM,neurips,deepseek,3,1987,1989,,,
DETM,neurips,deepseek,3,1990,1992,,,
DETM,neurips,deepseek,3,1993,1995,,,
DETM,neurips,deepseek,3,1996,1998,,,
DETM,neurips,deepseek,3,1999,2001,,,
DETM,neurips,deepseek,3,2002,2004,,,
DETM,neurips,deepseek,3,2005,2007,,,
DETM,neurips,deepseek,3,2008,2010,,,
DETM,neurips,deepseek,3,2011,2013,,,
DETM,neurips,deepseek,3,2014,2016,,,
DETM,neurips,deepseek,3,2017,2019,,,
DETM,neurips,deepseek,4,1987,1989,,,
DETM,neurips,deepseek,4,1990,1992,,,
DETM,neurips,deepseek,4,1993,1995,,,
DETM,neurips,deepseek,4,1996,1998,,,
DETM,neurips,deepseek,4,1999,2001,,,
DETM,neurips,deepseek,4,2002,2004,,,
DETM,neurips,deepseek,4,2005,2007,,,
DETM,neurips,deepseek,4,2008,2010,,,
DETM,neurips,deepseek,4,2011,2013,,,
DETM,neurips,deepseek,4,2014,2016,,,
DETM,neurips,deepseek,4,2017,2019,,,
DETM,neurips,deepseek,5,1987,1989,,,
DETM,neurips,deepseek,5,1990,1992,,,
DETM,neurips,deepseek,5,1993,1995,,,
DETM,neurips,deepseek,5,1996,1998,,,
DETM,neurips,deepseek,5,1999,2001,,,
DETM,neurips,deepseek,5,2002,2004,,,
DETM,neurips,deepseek,5,2005,2007,,,
DETM,neurips,deepseek,5,2008,2010,,,
DETM,neurips,deepseek,5,2011,2013,,,
DETM,neurips,deepseek,5,2014,2016,,,
DETM,neurips,deepseek,5,2017,2019,,,
DETM,neurips,deepseek,6,1987,1989,,,
DETM,neurips,deepseek,6,1990,1992,,,
DETM,neurips,deepseek,6,1993,1995,,,
DETM,neurips,deepseek,6,1996,1998,,,
DETM,neurips,deepseek,6,1999,2001,,,
DETM,neurips,deepseek,6,2002,2004,,,
DETM,neurips,deepseek,6,2005,2007,,,
DETM,neurips,deepseek,6,2008,2010,,,
DETM,neurips,deepseek,6,2011,2013,,,
DETM,neurips,deepseek,6,2014,2016,,,
DETM,neurips,deepseek,6,2017,2019,,,
DETM,neurips,deepseek,7,1987,1989,,,
DETM,neurips,deepseek,7,1990,1992,,,
DETM,neurips,deepseek,7,1993,1995,,,
DETM,neurips,deepseek,7,1996,1998,,,
DETM,neurips,deepseek,7,1999,2001,,,
DETM,neurips,deepseek,7,2002,2004,,,
DETM,neurips,deepseek,7,2005,2007,,,
DETM,neurips,deepseek,7,2008,2010,,,
DETM,neurips,deepseek,7,2011,2013,,,
DETM,neurips,deepseek,7,2014,2016,,,
DETM,neurips,deepseek,7,2017,2019,,,
DETM,neurips,deepseek,8,1987,1989,,,
DETM,neurips,deepseek,8,1990,1992,,,
DETM,neurips,deepseek,8,1993,1995,,,
DETM,neurips,deepseek,8,1996,1998,,,
DETM,neurips,deepseek,8,1999,2001,,,
DETM,neurips,deepseek,8,2002,2004,,,
DETM,neurips,deepseek,8,2005,2007,,,
DETM,neurips,deepseek,8,2008,2010,,,
DETM,neurips,deepseek,8,2011,2013,,,
DETM,neurips,deepseek,8,2014,2016,,,
DETM,neurips,deepseek,8,2017,2019,,,
DETM,neurips,deepseek,9,1987,1989,,,
DETM,neurips,deepseek,9,1990,1992,,,
DETM,neurips,deepseek,9,1993,1995,,,
DETM,neurips,deepseek,9,1996,1998,,,
DETM,neurips,deepseek,9,1999,2001,,,
DETM,neurips,deepseek,9,2002,2004,,,
DETM,neurips,deepseek,9,2005,2007,,,
DETM,neurips,deepseek,9,2008,2010,,,
DETM,neurips,deepseek,9,2011,2013,,,
DETM,neurips,deepseek,9,2014,2016,,,
DETM,neurips,deepseek,9,2017,2019,,,
DETM,neurips,deepseek,10,1987,1989,,,
DETM,neurips,deepseek,10,1990,1992,,,
DETM,neurips,deepseek,10,1993,1995,,,
DETM,neurips,deepseek,10,1996,1998,,,
DETM,neurips,deepseek,10,1999,2001,,,
DETM,neurips,deepseek,10,2002,2004,,,
DETM,neurips,deepseek,10,2005,2007,,,
DETM,neurips,deepseek,10,2008,2010,,,
DETM,neurips,deepseek,10,2011,2013,,,
DETM,neurips,deepseek,10,2014,2016,,,
