dtm_model,dataset,llm,topic_idx,year_start,year_end,label,justification,raw
DLDA,neurips,llama,0,1987,1989,Minor drift,"The change from 'closest' to 'similarity' in 1989 is a subtle shift in wording, but the overall topic remains focused on geometric distances and metrics, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The change from 'closest' to 'similarity' in 1989 is a subtle shift in wording, but the overall topic remains focused on geometric distances and metrics, indicating a minor drift rather than a significant semantic change.""
}"
DLDA,neurips,llama,0,1990,1992,Minor drift,"The topic remains largely consistent across the three years, with only minor additions and no significant changes in the core vocabulary, indicating a gradual and incremental evolution rather than a meaningful semantic shift.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic remains largely consistent across the three years, with only minor additions and no significant changes in the core vocabulary, indicating a gradual and incremental evolution rather than a meaningful semantic shift.""
}"
DLDA,neurips,llama,0,1993,1995,Minor drift,"The topic evolution shows a consistent theme of discussing distances and neighbors in a metric space, with minor variations in vocabulary, but no significant semantic shift.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a consistent theme of discussing distances and neighbors in a metric space, with minor variations in vocabulary, but no significant semantic shift.""
}"
DLDA,neurips,llama,0,1996,1998,Minor drift,"The topic evolution shows a consistent presence of terms related to distance and similarity metrics, indicating a minor shift in the focus on specific types of distances (e.g., Euclidean) or a refinement in the language used, but no significant change in the overall topic.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a consistent presence of terms related to distance and similarity metrics, indicating a minor shift in the focus on specific types of distances (e.g., Euclidean) or a refinement in the language used, but no significant change in the overall topic.""
}"
DLDA,neurips,llama,0,1999,2001,Minor drift,"The changes in the topic representation are minor and seem to be a result of slight reordering of words, rather than a significant shift in semantic meaning.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The changes in the topic representation are minor and seem to be a result of slight reordering of words, rather than a significant shift in semantic meaning.""
}"
DLDA,neurips,llama,0,2002,2004,Minor drift,"The topic evolution shows a slight shift in word order and addition of new words, but the core concepts of distance, metric, and similarity remain consistent across the years.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a slight shift in word order and addition of new words, but the core concepts of distance, metric, and similarity remain consistent across the years.""
}"
DLDA,neurips,llama,0,2005,2007,Minor drift,"The changes are minor and mostly involve slight reordering of terms, indicating a gradual shift in emphasis rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The changes are minor and mostly involve slight reordering of terms, indicating a gradual shift in emphasis rather than a significant semantic change.""
}"
DLDA,neurips,llama,0,2008,2010,Minor drift,"The topic evolution shows a consistent presence of terms related to distance and similarity metrics, indicating a minor shift in the focus on specific terms rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a consistent presence of terms related to distance and similarity metrics, indicating a minor shift in the focus on specific terms rather than a significant semantic change.""
}"
DLDA,neurips,llama,0,2011,2013,Minor drift,"The evolution shows a gradual shift from 'distances' and 'points' to 'embedding' and away from 'neighbors', but the core concepts of 'distance', 'metric', and 'similarity' remain consistent.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The evolution shows a gradual shift from 'distances' and 'points' to 'embedding' and away from 'neighbors', but the core concepts of 'distance', 'metric', and 'similarity' remain consistent.""
}"
DLDA,neurips,llama,0,2014,2016,Minor drift,"The changes in the topic representation are subtle and incremental, with words being reordered or slightly rearranged, but the overall theme of the topic remains consistent.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The changes in the topic representation are subtle and incremental, with words being reordered or slightly rearranged, but the overall theme of the topic remains consistent.""
}"
