dtm_model,dataset,llm,topic_idx,year_start,year_end,label,justification,raw
DETM,neurips,llama,0,1987,1989,Minor drift,"The changes in the topic representation are subtle and incremental, with words being reordered or replaced with synonyms, indicating a gradual refinement of the topic rather than a significant semantic shift.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The changes in the topic representation are subtle and incremental, with words being reordered or replaced with synonyms, indicating a gradual refinement of the topic rather than a significant semantic shift.""
}"
DETM,neurips,llama,0,1990,1992,Minor drift,The changes in the topic representation are subtle and consistent with the gradual refinement of terminology in the field of neural networks.,"{
  ""label"": ""Minor drift"",
  ""justification"": ""The changes in the topic representation are subtle and consistent with the gradual refinement of terminology in the field of neural networks.""
}"
DETM,neurips,llama,0,1993,1995,Minor drift,"The topic evolution shows a gradual shift from a focus on neural network architecture and weights to a focus on algorithms and methods, which is a plausible semantic change in the field of neural networks over time.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift from a focus on neural network architecture and weights to a focus on algorithms and methods, which is a plausible semantic change in the field of neural networks over time.""
}"
DETM,neurips,llama,0,1996,1998,Minor drift,"The topic evolution shows a consistent shift in word order and slight changes in vocabulary, but the overall theme and key words remain similar, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a consistent shift in word order and slight changes in vocabulary, but the overall theme and key words remain similar, indicating a minor drift rather than a significant semantic change.""
}"
DETM,neurips,llama,0,1999,2001,Minor drift,"The topic evolution shows a gradual shift in word usage, with some words being replaced by synonyms or related terms, but the overall theme remains consistent.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in word usage, with some words being replaced by synonyms or related terms, but the overall theme remains consistent.""
}"
DETM,neurips,llama,0,2002,2004,Minor drift,"The topic evolution shows a gradual shift in word order and slight changes in word presence, but the overall theme of discussing algorithms and methods remains consistent.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in word order and slight changes in word presence, but the overall theme of discussing algorithms and methods remains consistent.""
}"
DETM,neurips,llama,0,2005,2007,Minor drift,"The changes in the topic representation are subtle and consistent with the gradual refinement of terminology in the field, indicating a minor drift rather than a significant semantic shift.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The changes in the topic representation are subtle and consistent with the gradual refinement of terminology in the field, indicating a minor drift rather than a significant semantic shift.""
}"
DETM,neurips,llama,0,2008,2010,Minor drift,"The topic evolution shows a gradual shift in focus from 'greedy' and 'current setting' in 2008 to 'parameter' and 'weight' in 2010, but the core concepts of 'algorithm', 'online', and 'update' remain consistent.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in focus from 'greedy' and 'current setting' in 2008 to 'parameter' and 'weight' in 2010, but the core concepts of 'algorithm', 'online', and 'update' remain consistent.""
}"
DETM,neurips,llama,0,2011,2013,Minor drift,"The changes in the topic representation are subtle and consistent with the natural progression of the field, with terms like 'adaptive' and 'problem' emerging as the field matures.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The changes in the topic representation are subtle and consistent with the natural progression of the field, with terms like 'adaptive' and 'problem' emerging as the field matures.""
}"
DETM,neurips,llama,0,2014,2016,Minor drift,"The topic evolution shows a gradual shift in focus from general algorithmic concepts to more specific aspects of algorithm design, but the core theme remains consistent.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in focus from general algorithmic concepts to more specific aspects of algorithm design, but the core theme remains consistent.""
}"
