dtm_model,dataset,llm,topic_idx,year_start,year_end,label,justification,raw
DLDA,unDebates,deepseek,0,1970,1972,,,
DLDA,unDebates,deepseek,0,1973,1975,,,
DLDA,unDebates,deepseek,0,1976,1978,,,
DLDA,unDebates,deepseek,0,1979,1981,,,
DLDA,unDebates,deepseek,0,1982,1984,,,
DLDA,unDebates,deepseek,0,1985,1987,,,
DLDA,unDebates,deepseek,0,1988,1990,,,
DLDA,unDebates,deepseek,0,1991,1993,,,
DLDA,unDebates,deepseek,0,1994,1996,,,
DLDA,unDebates,deepseek,0,1997,1999,,,
DLDA,unDebates,deepseek,0,2000,2002,,,
DLDA,unDebates,deepseek,0,2003,2005,,,
DLDA,unDebates,deepseek,0,2006,2008,,,
DLDA,unDebates,deepseek,0,2009,2011,,,
DLDA,unDebates,deepseek,0,2012,2014,,,
DLDA,unDebates,deepseek,0,2015,2017,,,
DLDA,unDebates,deepseek,0,2018,2020,,,
DLDA,unDebates,deepseek,1,1970,1972,,,
DLDA,unDebates,deepseek,1,1973,1975,,,
DLDA,unDebates,deepseek,1,1976,1978,,,
DLDA,unDebates,deepseek,1,1979,1981,,,
DLDA,unDebates,deepseek,1,1982,1984,,,
DLDA,unDebates,deepseek,1,1985,1987,,,
DLDA,unDebates,deepseek,1,1988,1990,,,
DLDA,unDebates,deepseek,1,1991,1993,,,
DLDA,unDebates,deepseek,1,1994,1996,,,
DLDA,unDebates,deepseek,1,1997,1999,,,
DLDA,unDebates,deepseek,1,2000,2002,,,
DLDA,unDebates,deepseek,1,2003,2005,,,
DLDA,unDebates,deepseek,1,2006,2008,,,
DLDA,unDebates,deepseek,1,2009,2011,,,
DLDA,unDebates,deepseek,1,2012,2014,,,
DLDA,unDebates,deepseek,1,2015,2017,,,
DLDA,unDebates,deepseek,1,2018,2020,,,
DLDA,unDebates,deepseek,2,1970,1972,,,
DLDA,unDebates,deepseek,2,1973,1975,,,
DLDA,unDebates,deepseek,2,1976,1978,,,
