dtm_model,dataset,llm,topic_idx,year_start,year_end,label,justification,raw
DLDA,neurips,qwen,0,1987,1989,Minor drift,"The addition of the term 'similarity' in 1989 can be seen as a natural extension of the concept of distance and nearest neighbor, indicating a minor drift rather than a significant semantic change.","{""label"": ""Minor drift"", ""justification"": ""The addition of the term 'similarity' in 1989 can be seen as a natural extension of the concept of distance and nearest neighbor, indicating a minor drift rather than a significant semantic change.""}"
DLDA,neurips,qwen,0,1990,1992,Minor drift,"The addition of the word 'point' in both Year 1991 and Year 1992 does not significantly alter the core meaning, as it is already present multiple times and the overall focus remains on distance-based concepts.","{""label"": ""Minor drift"", ""justification"": ""The addition of the word 'point' in both Year 1991 and Year 1992 does not significantly alter the core meaning, as it is already present multiple times and the overall focus remains on distance-based concepts.""}"
DLDA,neurips,qwen,0,1993,1995,Minor drift,The addition of 'measure' in 1994 and its repetition in 1995 without any other significant changes suggest a minor refinement rather than a substantial semantic shift.,"{""label"": ""Minor drift"", ""justification"": ""The addition of 'measure' in 1994 and its repetition in 1995 without any other significant changes suggest a minor refinement rather than a substantial semantic shift.""}"
DLDA,neurips,qwen,0,1996,1998,Meaningful evolution,"The order of words has slightly changed but the core terms related to distance and nearest neighbor methods remain consistent, indicating a meaningful evolution rather than a minor drift or incoherent change.","{""label"": ""Meaningful evolution"", ""justification"": ""The order of words has slightly changed but the core terms related to distance and nearest neighbor methods remain consistent, indicating a meaningful evolution rather than a minor drift or incoherent change.""}"
DLDA,neurips,qwen,0,1999,2001,Minor drift,"The order of words has changed slightly but the core terms related to distance and similarity metrics remain consistent, indicating a minor drift rather than a meaningful semantic change.","{""label"": ""Minor drift"", ""justification"": ""The order of words has changed slightly but the core terms related to distance and similarity metrics remain consistent, indicating a minor drift rather than a meaningful semantic change.""}"
DLDA,neurips,qwen,0,2002,2004,Minor drift,"The terms remain largely consistent, with 'data' being the only significant addition, which could be a natural expansion of the topic from a focus on points and neighbors to a broader context including data sets.","{""label"": ""Minor drift"", ""justification"": ""The terms remain largely consistent, with 'data' being the only significant addition, which could be a natural expansion of the topic from a focus on points and neighbors to a broader context including data sets.""}"
DLDA,neurips,qwen,0,2005,2007,Minor drift,"The order of the words has changed slightly, but the set of topics remains consistent from year to year, indicating a minor rearrangement rather than a significant semantic shift.","{""label"": ""Minor drift"", ""justification"": ""The order of the words has changed slightly, but the set of topics remains consistent from year to year, indicating a minor rearrangement rather than a significant semantic shift.""}"
DLDA,neurips,qwen,0,2008,2010,Minor drift,"The topic composition remains almost identical across the three years, indicating minimal change rather than a significant semantic shift.","{""label"": ""Minor drift"", ""justification"": ""The topic composition remains almost identical across the three years, indicating minimal change rather than a significant semantic shift.""}"
DLDA,neurips,qwen,0,2011,2013,Meaningful evolution,"The addition of 'embedding' in 2012 and its further inclusion with 'distances' in 2013 suggests a progression towards more advanced techniques in the field of data analysis, indicating a meaningful semantic change.","{""label"": ""Meaningful evolution"", ""justification"": ""The addition of 'embedding' in 2012 and its further inclusion with 'distances' in 2013 suggests a progression towards more advanced techniques in the field of data analysis, indicating a meaningful semantic change.""}"
DLDA,neurips,qwen,0,2014,2016,Minor drift,"The order of words has changed slightly, but the core terms remain consistent and relevant to each other, indicating a minor shift rather than a significant semantic change.","{""label"": ""Minor drift"", ""justification"": ""The order of words has changed slightly, but the core terms remain consistent and relevant to each other, indicating a minor shift rather than a significant semantic change.""}"
DLDA,neurips,qwen,0,2017,2019,Meaningful evolution,"The topics show a consistent focus on embedding, distance, metric, and similarity concepts, with a slight reordering that suggests a more refined or specialized discussion in later years, indicating a meaningful evolution rather than random noise.","{""label"": ""Meaningful evolution"", ""justification"": ""The topics show a consistent focus on embedding, distance, metric, and similarity concepts, with a slight reordering that suggests a more refined or specialized discussion in later years, indicating a meaningful evolution rather than random noise.""}"
DLDA,neurips,qwen,1,1987,1989,Minor drift,"The terms remain consistent across the years with only slight variations in the frequency of 'component' and 'components', which does not indicate a significant semantic shift.","{""label"": ""Minor drift"", ""justification"": ""The terms remain consistent across the years with only slight variations in the frequency of 'component' and 'components', which does not indicate a significant semantic shift.""}"
DLDA,neurips,qwen,1,1990,1992,Minor drift,"The terms remain consistent across the years with only slight variations in frequency, indicating a minor drift rather than a significant semantic change.","{""label"": ""Minor drift"", ""justification"": ""The terms remain consistent across the years with only slight variations in frequency, indicating a minor drift rather than a significant semantic change.""}"
DLDA,neurips,qwen,1,1993,1995,Meaningful evolution,"The addition of 'covariance' and 'independent' in 1995 suggests a shift towards more specific concepts in statistical analysis, indicating a meaningful evolution rather than minor drift or incoherent change.","{""label"": ""Meaningful evolution"", ""justification"": ""The addition of 'covariance' and 'independent' in 1995 suggests a shift towards more specific concepts in statistical analysis, indicating a meaningful evolution rather than minor drift or incoherent change.""}"
DLDA,neurips,qwen,1,1996,1998,Meaningful evolution,"The terms show a progression from discussing specific matrix properties and operations (like eigenvalues, diagonal, covariance) to a broader discussion on matrix analysis and its components, indicating a coherent shift in focus.","{""label"": ""Meaningful evolution"", ""justification"": ""The terms show a progression from discussing specific matrix properties and operations (like eigenvalues, diagonal, covariance) to a broader discussion on matrix analysis and its components, indicating a coherent shift in focus.""}"
