dtm_model,dataset,llm,topic_idx,year_start,year_end,label,justification,raw
DLDA,nyt,deepseek,0,1987,1989,Minor drift,"The words remain consistent, with only slight order changes, indicating minor changes in emphasis rather than semantic evolution.","{""label"": ""Minor drift"", ""justification"": ""The words remain consistent, with only slight order changes, indicating minor changes in emphasis rather than semantic evolution.""}"
DLDA,nyt,deepseek,0,1990,1992,Meaningful evolution,"The evolution shows a thematic expansion from focusing on specific modes of transportation to including related aspects like safety, indicating a meaningful progression in the topic's development.","{""label"": ""Meaningful evolution"", ""justification"": ""The evolution shows a thematic expansion from focusing on specific modes of transportation to including related aspects like safety, indicating a meaningful progression in the topic's development.""}"
DLDA,nyt,deepseek,0,1993,1995,Meaningful evolution,"The evolution reflects a shift in focus from general transportation to a more specific concern about safety in air travel, influenced by events like plane crashes, indicating a meaningful semantic change.","{""label"": ""Meaningful evolution"", ""justification"": ""The evolution reflects a shift in focus from general transportation to a more specific concern about safety in air travel, influenced by events like plane crashes, indicating a meaningful semantic change.""}"
DLDA,nyt,deepseek,0,1996,1998,,,
DLDA,nyt,deepseek,0,1999,2001,Meaningful evolution,"The shift from focusing on aviation and weather in 1999 to broader themes of global trade and world events by 2001 reflects a meaningful change in semantic focus, aligning with real-world developments.","{""label"": ""Meaningful evolution"", ""justification"": ""The shift from focusing on aviation and weather in 1999 to broader themes of global trade and world events by 2001 reflects a meaningful change in semantic focus, aligning with real-world developments.""}"
DLDA,nyt,deepseek,0,2002,2004,Meaningful evolution,"The shift from space-related terms to those involving natural disasters like hurricanes indicates a real-world change in focus, reflecting a meaningful evolution in the topic's context.","{""label"": ""Meaningful evolution"", ""justification"": ""The shift from space-related terms to those involving natural disasters like hurricanes indicates a real-world change in focus, reflecting a meaningful evolution in the topic's context.""}"
DLDA,nyt,deepseek,0,2005,2007,Meaningful evolution,"The topic evolves by adding relevant terms like 'ground' and 'plane,' expanding on the hurricane response, indicating a meaningful semantic change.","{""label"": ""Meaningful evolution"", ""justification"": ""The topic evolves by adding relevant terms like 'ground' and 'plane,' expanding on the hurricane response, indicating a meaningful semantic change.""}"
DLDA,nyt,deepseek,1,1987,1989,Minor drift,"The words remain the same across all years, indicating stability rather than a meaningful shift.","{""label"": ""Minor drift"", ""justification"": ""The words remain the same across all years, indicating stability rather than a meaningful shift.""}"
DLDA,nyt,deepseek,1,1990,1992,Minor drift,"The topic remains consistent across the years, indicating a lack of meaningful change but not incoherent, thus a minor drift.","{""label"": ""Minor drift"", ""justification"": ""The topic remains consistent across the years, indicating a lack of meaningful change but not incoherent, thus a minor drift.""}"
DLDA,nyt,deepseek,1,1993,1995,Minor drift,"The topic evolution shows minor variations in word order but no significant semantic shift, indicating random drift rather than meaningful change.","{""label"": ""Minor drift"", ""justification"": ""The topic evolution shows minor variations in word order but no significant semantic shift, indicating random drift rather than meaningful change.""}"
