dtm_model,dataset,llm,topic_idx,year,intruder,detected,correct,raw
DETM,neurips,llama,0,1987,learning,year,False,Year
DETM,neurips,llama,0,1988,size,year,False,Year
DETM,neurips,llama,0,1989,inputs,year,False,Year
DETM,neurips,llama,0,1990,critical,year,False,Year
DETM,neurips,llama,0,1991,machine,year,False,Year
DETM,neurips,llama,0,1992,filter,year:,False,"Year: 1992

The word that is LEAST related to the others is: 'hidden'"
DETM,neurips,llama,0,1993,patterns,year:,False,"Year: 1993

The word that is LEAST related to the others is: 'year'"
DETM,neurips,llama,0,1994,squared,network,False,network
DETM,neurips,llama,0,1995,active,year:,False,"Year: 1995

The word that is LEAST related to the others is: 'given'"
DETM,neurips,llama,0,1996,probability,year,False,Year
DETM,neurips,llama,0,1997,computer,year,False,Year
DETM,neurips,llama,0,1998,finite,year:,False,"Year: 1998
Topic words: ['methods', 'algorithm', 'step', 'approach', 'finite', 'method']

Year"
DETM,neurips,llama,0,1999,probability,year,False,Year
DETM,neurips,llama,0,2000,specific,year:,False,Year: 2000
DETM,neurips,llama,0,2001,words,year,False,Year
DETM,neurips,llama,0,2002,zero,zero,True,zero
DETM,neurips,llama,0,2003,test,year,False,Year
DETM,neurips,llama,0,2004,edges,year,False,Year
DETM,neurips,llama,0,2005,vision,time,False,time
DETM,neurips,llama,0,2006,analysis,year,False,Year
DETM,neurips,llama,0,2007,section,year,False,Year
DETM,neurips,llama,0,2008,weights,year,False,Year
DETM,neurips,llama,0,2009,algorithm,year,False,Year
DETM,neurips,llama,0,2010,property,year,False,Year
DETM,neurips,llama,0,2011,variable,year,False,Year
DETM,neurips,llama,0,2012,kernel,time,False,Time
DETM,neurips,llama,0,2013,convergence,year,False,Year
DETM,neurips,llama,0,2014,principal,year,False,Year
DETM,neurips,llama,0,2015,questions,year,False,Year
DETM,neurips,llama,0,2016,structured,user,False,User
DETM,neurips,llama,0,2017,information,year,False,Year
DETM,neurips,llama,0,2018,values,year,False,Year
DETM,neurips,llama,0,2019,attention,year,False,Year
DETM,neurips,llama,1,1987,clustering,year,False,Year
DETM,neurips,llama,1,1988,majority,year:,False,"Year: 1988

Majority"
DETM,neurips,llama,1,1989,method,year,False,Year
DETM,neurips,llama,1,1990,weight,year,False,Year
DETM,neurips,llama,1,1991,concept,year,False,Year
DETM,neurips,llama,1,1992,pruning,year:,False,"Year: 1992

The word that is LEAST related to the others is: 'Year'"
DETM,neurips,llama,1,1993,networks,year,False,Year
DETM,neurips,llama,1,1994,character,character,True,Character
DETM,neurips,llama,1,1995,unit,year,False,Year
DETM,neurips,llama,1,1996,clusters,year,False,Year
DETM,neurips,llama,1,1997,little,little,True,little
DETM,neurips,llama,1,1998,action,year,False,Year
