dtm_model,dataset,llm,comparison,n_tasks,spearman_r,spearman_p,pearson_r,pearson_p,significant
DLDA,neurips,llama,LLM_coherence_vs_Human_WR,21,0.1361,0.5564,0.2163,0.3464,False
DLDA,neurips,llama,LLM_smoothness_vs_Human_SM,21,-0.0687,0.7675,-0.0933,0.6874,False
DLDA,neurips,llama,LLM_coherence_vs_NPMI,21,0.0899,0.6984,0.1089,0.6384,False
DLDA,neurips,qwen,LLM_coherence_vs_Human_WR,21,,,,,False
DLDA,neurips,qwen,LLM_smoothness_vs_Human_SM,21,0.1716,0.4569,0.1995,0.3859,False
DLDA,neurips,qwen,LLM_coherence_vs_NPMI,21,,,,,False
DLDA,neurips,deepseek,LLM_coherence_vs_Human_WR,20,-0.331,0.1541,-0.34,0.1424,False
DLDA,neurips,deepseek,LLM_smoothness_vs_Human_SM,20,-0.1106,0.6426,0.0451,0.8502,False
DLDA,neurips,deepseek,LLM_coherence_vs_NPMI,20,0.2307,0.3278,0.2136,0.3658,False
DLDA,nyt,llama,LLM_coherence_vs_Human_WR,21,,,,,False
DLDA,nyt,llama,LLM_smoothness_vs_Human_SM,21,-0.0564,0.8081,-0.1418,0.5398,False
DLDA,nyt,llama,LLM_coherence_vs_NPMI,21,,,,,False
DLDA,nyt,qwen,LLM_coherence_vs_Human_WR,21,,,,,False
DLDA,nyt,qwen,LLM_smoothness_vs_Human_SM,21,0.0687,0.7675,-0.0392,0.866,False
DLDA,nyt,qwen,LLM_coherence_vs_NPMI,21,,,,,False
DLDA,nyt,deepseek,LLM_coherence_vs_Human_WR,20,0.0201,0.933,-0.0618,0.7958,False
DLDA,nyt,deepseek,LLM_smoothness_vs_Human_SM,20,-0.2451,0.2975,-0.1887,0.4255,False
DLDA,nyt,deepseek,LLM_coherence_vs_NPMI,20,-0.3382,0.1447,-0.3629,0.1158,False
DLDA,unDebates,llama,LLM_coherence_vs_Human_WR,21,,,,,False
DLDA,unDebates,llama,LLM_smoothness_vs_Human_SM,21,,,,,False
DLDA,unDebates,llama,LLM_coherence_vs_NPMI,21,,,,,False
DLDA,unDebates,qwen,LLM_coherence_vs_Human_WR,21,,,,,False
DLDA,unDebates,qwen,LLM_smoothness_vs_Human_SM,21,-0.2041,0.3748,-0.1746,0.4491,False
DLDA,unDebates,qwen,LLM_coherence_vs_NPMI,21,,,,,False
DETM,neurips,llama,LLM_coherence_vs_Human_WR,21,0.3368,0.1355,0.2684,0.2395,False
DETM,neurips,llama,LLM_smoothness_vs_Human_SM,21,0.4585,0.0366,0.4619,0.035,True
DETM,neurips,llama,LLM_coherence_vs_NPMI,21,0.143,0.5363,0.1247,0.5901,False
DETM,nyt,llama,LLM_coherence_vs_Human_WR,21,-0.1102,0.6345,-0.1437,0.5342,False
DETM,nyt,llama,LLM_smoothness_vs_Human_SM,21,0.093,0.6885,-0.0306,0.8954,False
DETM,nyt,llama,LLM_coherence_vs_NPMI,21,-0.1162,0.6161,-0.1149,0.6199,False
DETM,unDebates,llama,LLM_coherence_vs_Human_WR,21,0.0564,0.8081,0.0881,0.704,False
DETM,unDebates,llama,LLM_smoothness_vs_Human_SM,21,-0.2236,0.3299,-0.1972,0.3914,False
DETM,unDebates,llama,LLM_coherence_vs_NPMI,21,0.0369,0.8737,0.0783,0.7357,False
