dtm_model,dataset,llm,topic_idx,year_start,year_end,label,justification,raw
DLDA,nyt,qwen,0,1987,1989,Minor drift,"The words remain the same across the years, indicating only slight changes in frequency or order without introducing new themes.","{""label"": ""Minor drift"", ""justification"": ""The words remain the same across the years, indicating only slight changes in frequency or order without introducing new themes.""}"
DLDA,nyt,qwen,0,1990,1992,Minor drift,"The changes between the years are subtle, with only a few words differing each year, suggesting a minor shift rather than a significant semantic change.","{""label"": ""Minor drift"", ""justification"": ""The changes between the years are subtle, with only a few words differing each year, suggesting a minor shift rather than a significant semantic change.""}"
DLDA,nyt,qwen,0,1993,1995,Minor drift,"The topics show a slight rearrangement but maintain a focus on the same core themes of aviation and space, with the addition of 'crash' in later years which could indicate a shift towards more negative or incident-related news.","{""label"": ""Minor drift"", ""justification"": ""The topics show a slight rearrangement but maintain a focus on the same core themes of aviation and space, with the addition of 'crash' in later years which could indicate a shift towards more negative or incident-related news.""}"
DLDA,nyt,qwen,0,1996,1998,Minor drift,"The changes between the years are minimal, with only 'safety' being replaced by 'weather' in 1998, which still relates to aviation and safety concerns.","{""label"": ""Minor drift"", ""justification"": ""The changes between the years are minimal, with only 'safety' being replaced by 'weather' in 1998, which still relates to aviation and safety concerns.""}"
DLDA,nyt,qwen,0,1999,2001,Meaningful evolution,"The topics show a shift from discussing specific incidents (like plane crashes) to broader geopolitical and economic contexts, indicating a trend towards coverage of 9/11 and its aftermath.","{""label"": ""Meaningful evolution"", ""justification"": ""The topics show a shift from discussing specific incidents (like plane crashes) to broader geopolitical and economic contexts, indicating a trend towards coverage of 9/11 and its aftermath.""}"
DLDA,nyt,qwen,0,2002,2004,Minor drift,"The topics show slight variations with some recurring terms like 'said', 'people', 'plane', and 'officials', suggesting a minor drift rather than a significant semantic shift.","{""label"": ""Minor drift"", ""justification"": ""The topics show slight variations with some recurring terms like 'said', 'people', 'plane', and 'officials', suggesting a minor drift rather than a significant semantic shift.""}"
DLDA,nyt,qwen,0,2005,2007,Minor drift,"The topics show slight changes with the addition of 'ground' in 2006 and its continued presence in 2007, but the core focus on 'hurricane', 'storm', 'people', 'space', 'emergency', 'plane', and 'officials' remains consistent across the years.","{""label"": ""Minor drift"", ""justification"": ""The topics show slight changes with the addition of 'ground' in 2006 and its continued presence in 2007, but the core focus on 'hurricane', 'storm', 'people', 'space', 'emergency', 'plane', and 'officials' remains consistent across the years.""}"
DLDA,nyt,qwen,1,1987,1989,Minor drift,"The topics listed remain identical across the three years, indicating no significant change but also not showing a meaningful shift.","{""label"": ""Minor drift"", ""justification"": ""The topics listed remain identical across the three years, indicating no significant change but also not showing a meaningful shift.""}"
DLDA,nyt,qwen,1,1990,1992,Minor drift,"The terms remain largely the same with only 'production' replaced by 'directed' in one instance, indicating a minor refinement rather than a significant semantic shift.","{""label"": ""Minor drift"", ""justification"": ""The terms remain largely the same with only 'production' replaced by 'directed' in one instance, indicating a minor refinement rather than a significant semantic shift.""}"
DLDA,nyt,qwen,1,1993,1995,Minor drift,"The terms remain largely the same, with only 'production' replacing 'stage' in the list, indicating a slight shift rather than a significant semantic change.","{""label"": ""Minor drift"", ""justification"": ""The terms remain largely the same, with only 'production' replacing 'stage' in the list, indicating a slight shift rather than a significant semantic change.""}"
DLDA,nyt,qwen,1,1996,1998,Minor drift,"The terms remain largely the same, with only the verb 'like' appearing twice consecutively, suggesting a slight repetition but no significant semantic shift.","{""label"": ""Minor drift"", ""justification"": ""The terms remain largely the same, with only the verb 'like' appearing twice consecutively, suggesting a slight repetition but no significant semantic shift.""}"
DLDA,nyt,qwen,1,1999,2001,Meaningful evolution,"The terms remain consistent with the context of film and theater, but there's a slight reduction in specific production-related terms like 'production' and 'films', which could indicate a focus on individual roles or preferences ('like', 'director', 'directed') instead of broader production aspects.","{""label"": ""Meaningful evolution"", ""justification"": ""The terms remain consistent with the context of film and theater, but there's a slight reduction in specific production-related terms like 'production' and 'films', which could indicate a focus on individual roles or preferences ('like', 'director', 'directed') instead of broader production aspects.""}"
DLDA,nyt,qwen,1,2002,2004,Minor drift,"The terms remain very similar, with only 'theater' and 'production' being omitted in 2004, suggesting a slight reduction in variety but not a significant semantic shift.","{""label"": ""Minor drift"", ""justification"": ""The terms remain very similar, with only 'theater' and 'production' being omitted in 2004, suggesting a slight reduction in variety but not a significant semantic shift.""}"
DLDA,nyt,qwen,1,2005,2007,Minor drift,"The topics remain very similar, with only slight changes such as the removal of 'play' and addition of 'story' in 2007, indicating minor drift rather than a significant semantic change.","{""label"": ""Minor drift"", ""justification"": ""The topics remain very similar, with only slight changes such as the removal of 'play' and addition of 'story' in 2007, indicating minor drift rather than a significant semantic change.""}"
DLDA,nyt,qwen,2,1987,1989,Meaningful evolution,"The terms remain consistent with the context of political and geographical references, indicating a coherent shift likely related to the same topic with a slight reordering that could reflect changes in focus or emphasis.","{""label"": ""Meaningful evolution"", ""justification"": ""The terms remain consistent with the context of political and geographical references, indicating a coherent shift likely related to the same topic with a slight reordering that could reflect changes in focus or emphasis.""}"
DLDA,nyt,qwen,2,1990,1992,Minor drift,"The topics remain very similar, with only the order of appearance changing, suggesting a minor drift rather than a significant semantic shift.","{""label"": ""Minor drift"", ""justification"": ""The topics remain very similar, with only the order of appearance changing, suggesting a minor drift rather than a significant semantic shift.""}"
DLDA,nyt,qwen,2,1993,1995,Minor drift,"The topics show slight changes with the replacement of 'westchester' governor with 'pataki', which might indicate a change in focus from a specific county to a different governor, but the core themes remain largely the same.","{""label"": ""Minor drift"", ""justification"": ""The topics show slight changes with the replacement of 'westchester' governor with 'pataki', which might indicate a change in focus from a specific county to a different governor, but the core themes remain largely the same.""}"
DLDA,nyt,qwen,2,1996,1998,Meaningful evolution,"The terms 'pataki', 'governor', and 'westchester' maintain their presence, indicating continuity in the political context. The addition of 'legislature' in 1998 suggests a broader scope in discussing state governance, which is a meaningful semantic shift from just mentioning key figures to including institutional aspects.","{""label"": ""Meaningful evolution"", ""justification"": ""The terms 'pataki', 'governor', and 'westchester' maintain their presence, indicating continuity in the political context. The addition of 'legislature' in 1998 suggests a broader scope in discussing state governance, which is a meaningful semantic shift from just mentioning key figures to including institutional aspects.""}"
DLDA,nyt,qwen,2,1999,2001,Minor drift,"The change from 'connecticut' to 'pataki' is minimal, as both terms are closely related and likely refer to the same context of state governance.","{""label"": ""Minor drift"", ""justification"": ""The change from 'connecticut' to 'pataki' is minimal, as both terms are closely related and likely refer to the same context of state governance.""}"
DLDA,nyt,qwen,2,2002,2004,Minor drift,"The topics remain very similar, with only 'york' replacing 'pataki' in the list, indicating a minor shift rather than a significant semantic change.","{""label"": ""Minor drift"", ""justification"": ""The topics remain very similar, with only 'york' replacing 'pataki' in the list, indicating a minor shift rather than a significant semantic change.""}"
DLDA,nyt,qwen,2,2005,2007,Minor drift,"The words remain largely the same, with only 'town' replacing 'westchester', indicating a slight rearrangement rather than a new semantic direction.","{""label"": ""Minor drift"", ""justification"": ""The words remain largely the same, with only 'town' replacing 'westchester', indicating a slight rearrangement rather than a new semantic direction.""}"
DLDA,nyt,qwen,3,1987,1989,Minor drift,"The topics are very similar, with only slight changes in the order and frequency of words, indicating a minor drift rather than a significant semantic change.","{""label"": ""Minor drift"", ""justification"": ""The topics are very similar, with only slight changes in the order and frequency of words, indicating a minor drift rather than a significant semantic change.""}"
DLDA,nyt,qwen,3,1990,1992,Minor drift,"The vocabulary remains largely the same across the three years, with only 'trees' being added in 1991 and removed in 1992, indicating a minor change in focus rather than a significant semantic shift.","{""label"": ""Minor drift"", ""justification"": ""The vocabulary remains largely the same across the three years, with only 'trees' being added in 1991 and removed in 1992, indicating a minor change in focus rather than a significant semantic shift.""}"
DLDA,nyt,qwen,3,1993,1995,Minor drift,"The words remain largely the same, with only slight reordering and addition of 'long' which doesn't significantly alter the overall theme of outdoor or summer settings.","{""label"": ""Minor drift"", ""justification"": ""The words remain largely the same, with only slight reordering and addition of 'long' which doesn't significantly alter the overall theme of outdoor or summer settings.""}"
DLDA,nyt,qwen,3,1996,1998,Minor drift,"The topics show slight changes with 'beach' persisting and 'north' being added, which could reflect seasonal or geographical shifts rather than a significant semantic change.","{""label"": ""Minor drift"", ""justification"": ""The topics show slight changes with 'beach' persisting and 'north' being added, which could reflect seasonal or geographical shifts rather than a significant semantic change.""}"
DLDA,nyt,qwen,3,1999,2001,Minor drift,"The changes are subtle, with 'water' and 'long' being added or removed, which could reflect minor seasonal or descriptive shifts rather than a significant semantic change.","{""label"": ""Minor drift"", ""justification"": ""The changes are subtle, with 'water' and 'long' being added or removed, which could reflect minor seasonal or descriptive shifts rather than a significant semantic change.""}"
