dtm_model,dataset,llm,topic_idx,year,intruder,detected,correct,raw
DETM,nyt,llama,0,1987,percent,university,False,university
DETM,nyt,llama,0,1988,employees,university,False,university
DETM,nyt,llama,0,1989,nuclear,nuclear,True,nuclear
DETM,nyt,llama,0,1990,companies,year:,False,"Year: 1990

The word that is LEAST related to the others is: 'companies'."
DETM,nyt,llama,0,1991,fighting,fighting,True,Fighting
DETM,nyt,llama,0,1992,death,death,True,Death
DETM,nyt,llama,0,1993,cook,cook,True,cook
DETM,nyt,llama,0,1994,half,half,True,half
DETM,nyt,llama,0,1995,early,year,False,Year
DETM,nyt,llama,0,1996,executive,john,False,john
DETM,nyt,llama,0,1997,york,signed,False,Signed
DETM,nyt,llama,0,1998,schools,stocks,False,stocks
DETM,nyt,llama,0,1999,public,human,False,human
DETM,nyt,llama,0,2000,health,year,False,Year
DETM,nyt,llama,0,2001,tickets,tickets,True,tickets
DETM,nyt,llama,0,2002,writing,writing,True,Writing
DETM,nyt,llama,0,2003,coach,study,False,Study
DETM,nyt,llama,0,2004,rates,rates,True,Rates
DETM,nyt,llama,0,2005,little,year,False,Year
DETM,nyt,llama,0,2006,played,played,True,played
DETM,nyt,llama,0,2007,market,year,False,Year
DETM,nyt,llama,1,1987,expected,work,False,Work
DETM,nyt,llama,1,1988,remains,year,False,Year
DETM,nyt,llama,1,1989,good,year,False,Year
DETM,nyt,llama,1,1990,state,state,True,State
DETM,nyt,llama,1,1991,games,games,True,Games
DETM,nyt,llama,1,1992,research,research,True,Research
DETM,nyt,llama,1,1993,million,million,True,Million
DETM,nyt,llama,1,1994,ireland,ireland,True,Ireland
DETM,nyt,llama,1,1995,troops,troops,True,troops
DETM,nyt,llama,1,1996,employees,wine,False,wine
DETM,nyt,llama,1,1997,think,think,True,think
DETM,nyt,llama,1,1998,called,year:,False,"Year: 1998
Topic words: ['menu', 'street', 'wine', 'food', 'called', 'restaurant']

The word that is LEAST related to the others is: 'called'"
DETM,nyt,llama,1,1999,band,band,True,band
DETM,nyt,llama,1,2000,price,year,False,Year
DETM,nyt,llama,1,2001,coach,coach,True,Coach
DETM,nyt,llama,1,2002,states,wine,False,Wine
DETM,nyt,llama,1,2003,republican,republican,True,Republican
DETM,nyt,llama,1,2004,paintings,paintings,True,paintings
DETM,nyt,llama,1,2005,catholic,catholic,True,catholic
DETM,nyt,llama,1,2006,network,network,True,Network
DETM,nyt,llama,1,2007,health,year,False,Year
DETM,nyt,llama,2,1987,women,year,False,Year
DETM,nyt,llama,2,1988,white,year:,False,"Year: 1988

The word that is LEAST related to the others is: 'year'"
DETM,nyt,llama,2,1989,public,people,False,People
DETM,nyt,llama,2,1990,editor,editor,True,editor
DETM,nyt,llama,2,1991,year,year,True,Year
DETM,nyt,llama,2,1992,officials,people,False,People
DETM,nyt,llama,2,1993,japan,japan,True,Japan
DETM,nyt,llama,2,1994,scientists,scientists,True,scientists
DETM,nyt,llama,2,1995,high,high,True,high
DETM,nyt,llama,2,1996,writing,writing,True,writing
DETM,nyt,llama,2,1997,street,street,True,Street
DETM,nyt,llama,2,1998,estate,estate,True,Estate
DETM,nyt,llama,2,1999,little,little,True,little
DETM,nyt,llama,2,2000,wine,wine,True,Wine
DETM,nyt,llama,2,2001,family,year,False,Year
DETM,nyt,llama,2,2002,coach,coach,True,Coach
DETM,nyt,llama,2,2003,father,year,False,Year
DETM,nyt,llama,2,2004,customers,customers,True,customers
DETM,nyt,llama,2,2005,doctors,doctors,True,doctors
DETM,nyt,llama,2,2006,children,children,True,children
DETM,nyt,llama,2,2007,wine,wine,True,Wine
