dtm_model,dataset,llm,topic_idx,year_start,year_end,label,justification,raw
DLDA,neurips,deepseek,0,1987,1989,Meaningful evolution,"The addition of 'similarity' in 1989 reflects a natural expansion of the topic, incorporating related concepts, indicating a meaningful progression.","{""label"": ""Meaningful evolution"", ""justification"": ""The addition of 'similarity' in 1989 reflects a natural expansion of the topic, incorporating related concepts, indicating a meaningful progression.""}"
DLDA,neurips,deepseek,0,1990,1992,Minor drift,"The addition of 'point' in 1991 and its repetition in 1992 represents a slight change, not a significant semantic shift, indicating minor drift rather than a meaningful evolution or incoherent change.","{""label"": ""Minor drift"", ""justification"": ""The addition of 'point' in 1991 and its repetition in 1992 represents a slight change, not a significant semantic shift, indicating minor drift rather than a meaningful evolution or incoherent change.""}"
DLDA,neurips,deepseek,0,1993,1995,Minor drift,"The changes in the topic's vocabulary from 1993 to 1995 are minimal, involving slight refinements like the addition of 'measure' and the pluralization of 'point,' indicating a minor drift rather than a significant semantic shift.","{""label"": ""Minor drift"", ""justification"": ""The changes in the topic's vocabulary from 1993 to 1995 are minimal, involving slight refinements like the addition of 'measure' and the pluralization of 'point,' indicating a minor drift rather than a significant semantic shift.""}"
DLDA,neurips,deepseek,0,1996,1998,Minor drift,"The words used each year are consistent and show only slight variations in order, indicating minor changes without a significant semantic shift.","{""label"": ""Minor drift"", ""justification"": ""The words used each year are consistent and show only slight variations in order, indicating minor changes without a significant semantic shift.""}"
DLDA,neurips,deepseek,0,1999,2001,Minor drift,"The topic evolution shows slight changes in terminology, such as the addition of 'point' and 'similarity,' but the core concepts remain consistent, indicating minor drift rather than a meaningful semantic change.","{""label"": ""Minor drift"", ""justification"": ""The topic evolution shows slight changes in terminology, such as the addition of 'point' and 'similarity,' but the core concepts remain consistent, indicating minor drift rather than a meaningful semantic change.""}"
DLDA,neurips,deepseek,0,2002,2004,Meaningful evolution,"The shift from focusing on distance metrics to incorporating data and points reflects a natural progression towards applying these metrics within datasets, indicating a meaningful semantic evolution.","{""label"": ""Meaningful evolution"", ""justification"": ""The shift from focusing on distance metrics to incorporating data and points reflects a natural progression towards applying these metrics within datasets, indicating a meaningful semantic evolution.""}"
DLDA,neurips,deepseek,0,2005,2007,Minor drift,"The words remain consistent across years, with only slight order changes, indicating minor drift rather than meaningful change.","{""label"": ""Minor drift"", ""justification"": ""The words remain consistent across years, with only slight order changes, indicating minor drift rather than meaningful change.""}"
DLDA,neurips,deepseek,0,2008,2010,Minor drift,"The topics show minimal changes across years, with consistent core terms, indicating minor drift rather than meaningful evolution or incoherent change.","{""label"": ""Minor drift"", ""justification"": ""The topics show minimal changes across years, with consistent core terms, indicating minor drift rather than meaningful evolution or incoherent change.""}"
DLDA,neurips,deepseek,0,2011,2013,Meaningful evolution,"The addition of 'embedding' in 2012 and the continued focus on related concepts indicate a meaningful progression in the topic's development, reflecting advancements in data analysis techniques.","{""label"": ""Meaningful evolution"", ""justification"": ""The addition of 'embedding' in 2012 and the continued focus on related concepts indicate a meaningful progression in the topic's development, reflecting advancements in data analysis techniques.""}"
DLDA,neurips,deepseek,0,2014,2016,Minor drift,"The evolution shows a reordering of the same concepts without introducing new terms, indicating minor drift rather than a meaningful semantic change.","{""label"": ""Minor drift"", ""justification"": ""The evolution shows a reordering of the same concepts without introducing new terms, indicating minor drift rather than a meaningful semantic change.""}"
DLDA,neurips,deepseek,0,2017,2019,Meaningful evolution,"The shift from 'data' to 'metrics' in 2019 reflects a progression towards evaluating and understanding the criteria used to assess embeddings and distances, indicating a deeper engagement with evaluation metrics in machine learning.","{""label"": ""Meaningful evolution"", ""justification"": ""The shift from 'data' to 'metrics' in 2019 reflects a progression towards evaluating and understanding the criteria used to assess embeddings and distances, indicating a deeper engagement with evaluation metrics in machine learning.""}"
DLDA,neurips,deepseek,1,1987,1989,Minor drift,"The change from 'component' to 'components' in 1989 is a minor grammatical variation without altering the semantic meaning, indicating a slight drift rather than a meaningful evolution.","{""label"": ""Minor drift"", ""justification"": ""The change from 'component' to 'components' in 1989 is a minor grammatical variation without altering the semantic meaning, indicating a slight drift rather than a meaningful evolution.""}"
DLDA,neurips,deepseek,1,1990,1992,Minor drift,"The terms remain consistent across years, indicating minor changes in emphasis rather than a significant semantic shift.","{""label"": ""Minor drift"", ""justification"": ""The terms remain consistent across years, indicating minor changes in emphasis rather than a significant semantic shift.""}"
DLDA,neurips,deepseek,1,1993,1995,Meaningful evolution,"The evolution shows a logical progression from matrix analysis to statistical concepts, indicating a real semantic shift over time.","{""label"": ""Meaningful evolution"", ""justification"": ""The evolution shows a logical progression from matrix analysis to statistical concepts, indicating a real semantic shift over time.""}"
DLDA,neurips,deepseek,1,1996,1998,Minor drift,"The changes in the topic terms from 1996 to 1998 reflect subtle variations in terminology rather than a significant semantic shift, suggesting minor drift rather than meaningful evolution.","{""label"": ""Minor drift"", ""justification"": ""The changes in the topic terms from 1996 to 1998 reflect subtle variations in terminology rather than a significant semantic shift, suggesting minor drift rather than meaningful evolution.""}"
DLDA,neurips,deepseek,1,1999,2001,Meaningful evolution,"The addition of 'vectors' in 2000 indicates a broader understanding of linear algebra concepts, reflecting a meaningful semantic shift over time.","{""label"": ""Meaningful evolution"", ""justification"": ""The addition of 'vectors' in 2000 indicates a broader understanding of linear algebra concepts, reflecting a meaningful semantic shift over time.""}"
