dtm_model,dataset,llm,topic_idx,year,intruder,detected,correct,raw
DLDA,nyt,qwen,0,1987,employees,today,False,today
DLDA,nyt,qwen,0,1988,black,said,False,said
DLDA,nyt,qwen,0,1989,works,year,False,Year
DLDA,nyt,qwen,0,1990,bond,bond,True,bond
DLDA,nyt,qwen,0,1991,democratic,space,False,space
DLDA,nyt,qwen,0,1992,said,year,False,Year
DLDA,nyt,qwen,0,1993,university,space,False,space
DLDA,nyt,qwen,0,1994,national,plane,False,plane
DLDA,nyt,qwen,0,1995,article,article,True,article
DLDA,nyt,qwen,0,1996,league,league,True,league
DLDA,nyt,qwen,0,1997,congress,space,False,space
DLDA,nyt,qwen,0,1998,government,government,True,government
DLDA,nyt,qwen,0,1999,listed,year,False,Year
DLDA,nyt,qwen,0,2000,said,center,False,center
DLDA,nyt,qwen,0,2001,judge,trade,False,trade
DLDA,nyt,qwen,0,2002,salt,said,False,said
DLDA,nyt,qwen,0,2003,trial,year,False,Year
DLDA,nyt,qwen,0,2004,mets,space,False,space
DLDA,nyt,qwen,0,2005,directed,year,False,Year
DLDA,nyt,qwen,0,2006,public,year,False,Year
DLDA,nyt,qwen,0,2007,beloved,orleans,False,orleans
DLDA,nyt,qwen,1,1987,gallery,gallery,True,gallery
DLDA,nyt,qwen,1,1988,think,think,True,think
DLDA,nyt,qwen,1,1989,department,department,True,department
DLDA,nyt,qwen,1,1990,american,year,False,Year
DLDA,nyt,qwen,1,1991,time,time,True,time
DLDA,nyt,qwen,1,1992,community,year,False,Year
DLDA,nyt,qwen,1,1993,president,president,True,president
DLDA,nyt,qwen,1,1994,daughter,daughter,True,daughter
DLDA,nyt,qwen,1,1995,open,play,False,play
DLDA,nyt,qwen,1,1996,said,film,False,film
DLDA,nyt,qwen,1,1997,economy,economy,True,economy
DLDA,nyt,qwen,1,1998,games,year,False,Year
DLDA,nyt,qwen,1,1999,prices,prices,True,prices
DLDA,nyt,qwen,1,2000,school,year,False,Year
DLDA,nyt,qwen,1,2001,bush,like,False,like
DLDA,nyt,qwen,1,2002,street,like,False,like
DLDA,nyt,qwen,1,2003,house,year,False,Year
DLDA,nyt,qwen,1,2004,iraq,year,False,Year
