dtm_model,dataset,llm,topic_idx,year,intruder,detected,correct,raw
DLDA,neurips,qwen,0,1987,delay,year,False,Year
DLDA,neurips,qwen,0,1988,reinforcement,year,False,Year
DLDA,neurips,qwen,0,1989,model,year,False,Year
DLDA,neurips,qwen,0,1990,retrieval,year,False,Year
DLDA,neurips,qwen,0,1991,systems,year,False,Year
DLDA,neurips,qwen,0,1992,groups,year,False,Year
DLDA,neurips,qwen,0,1993,head,year,False,Year
DLDA,neurips,qwen,0,1994,networks,year,False,Year
DLDA,neurips,qwen,0,1995,optimal,year,False,Year
DLDA,neurips,qwen,0,1996,rule,year,False,Year
DLDA,neurips,qwen,0,1997,events,year,False,Year
DLDA,neurips,qwen,0,1998,basis,year,False,Year
DLDA,neurips,qwen,0,1999,natural,year,False,Year
DLDA,neurips,qwen,0,2000,queries,year,False,Year
DLDA,neurips,qwen,0,2001,optimal,year,False,Year
DLDA,neurips,qwen,0,2002,following,year,False,Year
DLDA,neurips,qwen,0,2003,learning,year,False,Year
DLDA,neurips,qwen,0,2004,instances,year,False,Year
DLDA,neurips,qwen,0,2005,events,year,False,Year
DLDA,neurips,qwen,0,2006,data,year,False,Year
DLDA,neurips,qwen,0,2007,section,section,True,section
DLDA,neurips,qwen,0,2008,memory,year,False,Year
DLDA,neurips,qwen,0,2009,series,series,True,series
DLDA,neurips,qwen,0,2010,distribution,year,False,Year
DLDA,neurips,qwen,0,2011,layer,year,False,Year
DLDA,neurips,qwen,0,2012,optimal,year,False,Year
DLDA,neurips,qwen,0,2013,labeled,year,False,Year
DLDA,neurips,qwen,0,2014,additive,year,False,Year
DLDA,neurips,qwen,0,2015,order,year,False,Year
DLDA,neurips,qwen,0,2016,space,year,False,Year
DLDA,neurips,qwen,0,2017,rank,year,False,Year
DLDA,neurips,qwen,0,2018,point,year,False,Year
DLDA,neurips,qwen,0,2019,smoothing,year,False,Year
DLDA,neurips,qwen,1,1987,visible,visible,True,visible
DLDA,neurips,qwen,1,1988,faces,year,False,Year
DLDA,neurips,qwen,1,1989,visual,year,False,Year
DLDA,neurips,qwen,1,1990,instance,instance,True,instance
DLDA,neurips,qwen,1,1991,minima,year,False,Year
DLDA,neurips,qwen,1,1992,time,time,True,time
DLDA,neurips,qwen,1,1993,method,year,False,Year
DLDA,neurips,qwen,1,1994,dual,year,False,Year
DLDA,neurips,qwen,1,1995,noise,year,False,Year
DLDA,neurips,qwen,1,1996,query,year,False,Year
DLDA,neurips,qwen,1,1997,vectors,year,False,Year
DLDA,neurips,qwen,1,1998,function,year,False,Year
DLDA,neurips,qwen,1,1999,class,year,False,Year
DLDA,neurips,qwen,1,2000,data,year,False,Year
DLDA,neurips,qwen,1,2001,covariance,year,False,Year
DLDA,neurips,qwen,1,2002,sequence,year,False,Year
DLDA,neurips,qwen,1,2003,loss,year,False,Year
DLDA,neurips,qwen,1,2004,based,year,False,Year
DLDA,neurips,qwen,1,2005,examples,year,False,Year
DLDA,neurips,qwen,1,2006,estimator,year,False,Year
DLDA,neurips,qwen,1,2007,related,year,False,Year
DLDA,neurips,qwen,1,2008,human,year,False,Year
DLDA,neurips,qwen,1,2009,error,year,False,Year
DLDA,neurips,qwen,1,2010,basis,year,False,Year
DLDA,neurips,qwen,1,2011,regularization,rank,False,rank
DLDA,neurips,qwen,1,2012,mean,year,False,Year
DLDA,neurips,qwen,1,2013,selection,year,False,Year
DLDA,neurips,qwen,1,2014,inverse,year,False,Year
DLDA,neurips,qwen,1,2015,sparse,rank,False,rank
DLDA,neurips,qwen,1,2016,prediction,entries,False,Entries
DLDA,neurips,qwen,1,2017,target,target,True,target
DLDA,neurips,qwen,1,2018,brain,year,False,Year
DLDA,neurips,qwen,1,2019,data,year,False,Year
DLDA,neurips,qwen,2,1987,probability,year,False,Year
DLDA,neurips,qwen,2,1988,point,point,True,point
DLDA,neurips,qwen,2,1989,performance,year,False,Year
DLDA,neurips,qwen,2,1990,temperature,year,False,Year
DLDA,neurips,qwen,2,1991,language,year,False,Year
DLDA,neurips,qwen,2,1992,based,year,False,Year
DLDA,neurips,qwen,2,1993,input,year,False,Year
DLDA,neurips,qwen,2,1994,points,year,False,Year
DLDA,neurips,qwen,2,1995,function,input,False,input
DLDA,neurips,qwen,2,1996,feature,feature,True,Feature
DLDA,neurips,qwen,2,1997,vector,year,False,Year
DLDA,neurips,qwen,2,1998,context,year,False,Year
DLDA,neurips,qwen,2,1999,gaussian,gaussian,True,Gaussian
DLDA,neurips,qwen,2,2000,generated,year,False,Year
DLDA,neurips,qwen,2,2001,examples,examples,True,examples
DLDA,neurips,qwen,2,2002,semantic,year,False,Year
DLDA,neurips,qwen,2,2003,temporal,year,False,Year
DLDA,neurips,qwen,2,2004,regret,regret,True,regret
DLDA,neurips,qwen,2,2005,labels,labels,True,labels
DLDA,neurips,qwen,2,2006,sequence,year,False,Year
DLDA,neurips,qwen,2,2007,data,year,False,Year
DLDA,neurips,qwen,2,2008,test,test,True,test
DLDA,neurips,qwen,2,2009,networks,year,False,Year
DLDA,neurips,qwen,2,2010,linear,year,False,Year
DLDA,neurips,qwen,2,2011,bounded,bounded,True,bounded
DLDA,neurips,qwen,2,2012,examples,examples,True,examples
DLDA,neurips,qwen,2,2013,standard,year,False,Year
DLDA,neurips,qwen,2,2014,distribution,year,False,Year
DLDA,neurips,qwen,2,2015,choice,year,False,Year
DLDA,neurips,qwen,2,2016,columns,year,False,Year
DLDA,neurips,qwen,2,2017,reinforcement,year,False,Year
DLDA,neurips,qwen,2,2018,data,data,True,data
DLDA,neurips,qwen,2,2019,learning,cell,False,Cell
DLDA,neurips,qwen,3,1987,vector,vector,True,vector
DLDA,neurips,qwen,3,1988,performance,year,False,Year
DLDA,neurips,qwen,3,1989,network,year,False,Year
DLDA,neurips,qwen,3,1990,problem,year,False,Year
DLDA,neurips,qwen,3,1991,gaussian,year,False,Year
DLDA,neurips,qwen,3,1992,object,object,True,object
DLDA,neurips,qwen,3,1993,space,year,False,Year
DLDA,neurips,qwen,3,1994,head,head,True,head
DLDA,neurips,qwen,3,1995,figure,year,False,Year
DLDA,neurips,qwen,3,1996,matching,year,False,Year
DLDA,neurips,qwen,3,1997,learn,year,False,Year
DLDA,neurips,qwen,3,1998,decision,year,False,Year
DLDA,neurips,qwen,3,1999,movement,year,False,Year
DLDA,neurips,qwen,3,2000,figure,year,False,Year
DLDA,neurips,qwen,3,2001,games,year,False,Year
DLDA,neurips,qwen,3,2002,learned,year,False,Year
DLDA,neurips,qwen,3,2003,human,year,False,Year
