topic_id,time_index,intruder_word,model_prediction,correct
13,1,dimensional,self,False
13,7,recognition,head,False
13,13,problem,problem,True
13,19,gradient,'gradient',False
13,25,convex,convex,True
13,31,policy,regret,False
39,1,human,'analog',False
39,7,search,analog,False
39,13,value,university,False
39,19,class,descent,False
39,25,time,time,True
39,31,convex,convex,True
30,1,activation,case,False
30,7,points,section,False
30,13,words,paper,False
30,19,theorem,query,False
30,25,decision,'word',False
30,31,model,Attention,False
45,1,pattern,figure,False
45,7,input,'figure',False
45,13,data,example,False
45,19,matrix,matrix,True
45,25,matrix,variable,False
45,31,algorithm,'algorithm',False
17,1,pattern,input,False
17,7,image,input,False
17,13,space,space,True
17,19,model,upper,False
17,25,visual,online,False
17,31,data,answer,False
48,1,rule,present,False
48,7,convergence,input,False
48,13,number,input,False
48,19,class,class,True
48,25,information,units,False
48,31,memory,'source',False
26,1,connections,difficult,False
26,7,error,'difficult',False
26,13,input,input,True
26,19,error,error,True
26,25,matrix,making,False
26,31,neural,examples,False
25,1,theory,rule,False
25,7,control,control,True
25,13,code,code,True
25,19,distribution,given,False
25,25,image,image,True
25,31,neural,agent,False
32,1,space,paper,False
32,7,number,morgan,False
32,13,figure,figure,True
32,19,function,test,False
32,25,image,'input',False
32,31,prediction,ieee,False
19,1,pattern,number,False
19,7,points,points,True
19,13,image,image,True
19,19,motion,machine,False
19,25,label,loss,False
19,31,number,number,True
12,1,analog,sutton,False
12,7,number,sutton,False
12,13,code,user,False
12,19,linear,linear,True
12,25,sparse,tree,False
12,31,problem,value,False
4,1,field,complex,False
4,7,active,song,False
4,13,algorithm,'subjects',False
4,19,source,source,True
4,25,regression,recognition,False
4,31,neural,test,False
