dtm_model,dataset,llm,topic_idx,year_start,year_end,label,justification,raw
DLDA,nyt,llama,0,1987,1989,Minor drift,"The topic evolution shows a slight reordering of words, but the overall theme and vocabulary remain consistent, indicating a minor shift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a slight reordering of words, but the overall theme and vocabulary remain consistent, indicating a minor shift rather than a significant semantic change.""
}"
DLDA,nyt,llama,0,1990,1992,Minor drift,"The changes in the topic representation are subtle and consistent with a gradual shift in focus from aviation to maritime, suggesting a minor drift in the topic's semantic meaning.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The changes in the topic representation are subtle and consistent with a gradual shift in focus from aviation to maritime, suggesting a minor drift in the topic's semantic meaning.""
}"
DLDA,nyt,llama,0,1993,1995,Minor drift,"The topic evolution shows a gradual shift in emphasis from 'space' to 'plane' and 'flight', but the overall semantic meaning remains consistent, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in emphasis from 'space' to 'plane' and 'flight', but the overall semantic meaning remains consistent, indicating a minor drift rather than a significant semantic change.""
}"
DLDA,nyt,llama,0,1996,1998,Minor drift,"The evolution shows a gradual shift in focus from 'safety' to 'weather' but the overall topic remains centered around aviation incidents, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The evolution shows a gradual shift in focus from 'safety' to 'weather' but the overall topic remains centered around aviation incidents, indicating a minor drift rather than a significant semantic change.""
}"
DLDA,nyt,llama,0,1999,2001,Minor drift,"The topic evolution shows a gradual shift in focus from 'crash' and 'weather' to 'trade' and 'world', but the core theme of 'plane' and 'people' remains consistent, indicating a minor drift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a gradual shift in focus from 'crash' and 'weather' to 'trade' and 'world', but the core theme of 'plane' and 'people' remains consistent, indicating a minor drift rather than a significant semantic change.""
}"
DLDA,nyt,llama,0,2002,2004,Meaningful evolution,"The topic evolution shows a shift from a focus on space and flight in 2002 and 2003 to a focus on natural disasters (hurricane and storm) in 2004, indicating a real-world semantic shift.","{
  ""label"": ""Meaningful evolution"",
  ""justification"": ""The topic evolution shows a shift from a focus on space and flight in 2002 and 2003 to a focus on natural disasters (hurricane and storm) in 2004, indicating a real-world semantic shift.""
}"
DLDA,nyt,llama,0,2005,2007,Minor drift,"The topic evolution shows a consistent presence of hurricane-related words, indicating a minor shift in the context of the topic, with 'ground' replacing 'center' in 2007, suggesting a subtle change in the focus from the emergency response center to the ground level, but the overall topic remains largely consistent.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a consistent presence of hurricane-related words, indicating a minor shift in the context of the topic, with 'ground' replacing 'center' in 2007, suggesting a subtle change in the focus from the emergency response center to the ground level, but the overall topic remains largely consistent.""
}"
DLDA,nyt,llama,1,1987,1989,Minor drift,"The topic remains largely consistent across the three years, with no significant changes in the words associated with it, indicating a minor drift rather than a meaningful semantic shift.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic remains largely consistent across the three years, with no significant changes in the words associated with it, indicating a minor drift rather than a meaningful semantic shift.""
}"
DLDA,nyt,llama,1,1990,1992,Minor drift,"The topic evolution shows a slight change in word frequency, but the overall theme of the topic remains consistent, indicating a minor drift rather than a significant semantic shift.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The topic evolution shows a slight change in word frequency, but the overall theme of the topic remains consistent, indicating a minor drift rather than a significant semantic shift.""
}"
DLDA,nyt,llama,1,1993,1995,Minor drift,"The change in topic representation is subtle, with 'production' and 'broadway' swapping places, but the overall theme remains consistent, indicating a minor shift rather than a significant semantic change.","{
  ""label"": ""Minor drift"",
  ""justification"": ""The change in topic representation is subtle, with 'production' and 'broadway' swapping places, but the overall theme remains consistent, indicating a minor shift rather than a significant semantic change.""
}"
